innings,series,game,Player,Out Type,Runs,B,M,4s,6s,SR,team
1,indian-premier-league-2023-1345038,gujarat-titans-vs-rajasthan-royals-23rd-match-1359497,Wriddhiman Saha,c & b Boult,4,3,4,1,0,133.33,Gujarat Titans
1,indian-premier-league-2023-1345038,gujarat-titans-vs-rajasthan-royals-23rd-match-1359497,Shubman Gill,c Buttler b Sandeep Sharma,45,34,70,4,1,132.35,Gujarat Titans
1,indian-premier-league-2023-1345038,gujarat-titans-vs-rajasthan-royals-23rd-match-1359497,Sai Sudharsan,run out (Buttler/Samson),20,19,23,2,0,105.26,Gujarat Titans
1,indian-premier-league-2023-1345038,gujarat-titans-vs-rajasthan-royals-23rd-match-1359497,Hardik Pandya (c),c Jaiswal b Chahal,28,19,22,3,1,147.36,Gujarat Titans
1,indian-premier-league-2023-1345038,gujarat-titans-vs-rajasthan-royals-23rd-match-1359497,David Miller,c Hetmyer b Sandeep Sharma,46,30,43,3,2,153.33,Gujarat Titans
1,indian-premier-league-2023-1345038,gujarat-titans-vs-rajasthan-royals-23rd-match-1359497,Abhinav Manohar,c Padikkal b Zampa,27,13,17,0,3,207.69,Gujarat Titans
1,indian-premier-league-2023-1345038,gujarat-titans-vs-rajasthan-royals-23rd-match-1359497,Rahul Tewatia,not out ,1,1,10,0,0,100.00,Gujarat Titans
1,indian-premier-league-2023-1345038,gujarat-titans-vs-rajasthan-royals-23rd-match-1359497,Rashid Khan,run out (Buttler/Sandeep Sharma),1,1,4,0,0,100.00,Gujarat Titans
1,indian-premier-league-2023-1345038,gujarat-titans-vs-rajasthan-royals-23rd-match-1359497,Alzarri Joseph,not out ,0,0,2,0,0,-,Gujarat Titans
2,indian-premier-league-2023-1345038,gujarat-titans-vs-rajasthan-royals-23rd-match-1359497,Yashasvi Jaiswal,c Shubman Gill b Pandya,1,7,9,0,0,14.28,Rajasthan Royals
2,indian-premier-league-2023-1345038,gujarat-titans-vs-rajasthan-royals-23rd-match-1359497,Jos Buttler, b Mohammed Shami,0,5,14,0,0,0.00,Rajasthan Royals
2,indian-premier-league-2023-1345038,gujarat-titans-vs-rajasthan-royals-23rd-match-1359497,Devdutt Padikkal,c Sharma b Rashid Khan,26,25,38,2,2,104.00,Rajasthan Royals
2,indian-premier-league-2023-1345038,gujarat-titans-vs-rajasthan-royals-23rd-match-1359497,Sanju Samson (c)†,c Miller b Noor Ahmad,60,32,61,3,6,187.50,Rajasthan Royals
2,indian-premier-league-2023-1345038,gujarat-titans-vs-rajasthan-royals-23rd-match-1359497,Riyan Parag,c Miller b Rashid Khan,5,7,10,0,0,71.42,Rajasthan Royals
2,indian-premier-league-2023-1345038,gujarat-titans-vs-rajasthan-royals-23rd-match-1359497,Shimron Hetmyer,not out ,56,26,44,2,5,215.38,Rajasthan Royals
2,indian-premier-league-2023-1345038,gujarat-titans-vs-rajasthan-royals-23rd-match-1359497,Dhruv Jurel,c Sharma b Mohammed Shami,18,10,19,2,1,180.00,Rajasthan Royals
2,indian-premier-league-2023-1345038,gujarat-titans-vs-rajasthan-royals-23rd-match-1359497,Ravichandran Ashwin,c Tewatia b Mohammed Shami,10,3,4,1,1,333.33,Rajasthan Royals
2,indian-premier-league-2023-1345038,gujarat-titans-vs-rajasthan-royals-23rd-match-1359497,Trent Boult,not out ,0,1,3,0,0,0.00,Rajasthan Royals
