innings,series,game,Player,Out Type,Runs,B,M,4s,6s,SR,team
1,indian-premier-league-2023-1345038,kolkata-knight-riders-vs-lucknow-super-giants-68th-match-1359542,Karan Sharma,c Thakur b Harshit Rana,3,5,15,0,0,60.00,Lucknow Super Giants
1,indian-premier-league-2023-1345038,kolkata-knight-riders-vs-lucknow-super-giants-68th-match-1359542,Quinton de Kock,c Russell b Varun,28,27,55,0,2,103.70,Lucknow Super Giants
1,indian-premier-league-2023-1345038,kolkata-knight-riders-vs-lucknow-super-giants-68th-match-1359542,Prerak Mankad,c Harshit Rana b Arora,26,20,22,5,0,130.00,Lucknow Super Giants
1,indian-premier-league-2023-1345038,kolkata-knight-riders-vs-lucknow-super-giants-68th-match-1359542,Marcus Stoinis,c Iyer b Arora,0,2,5,0,0,0.00,Lucknow Super Giants
1,indian-premier-league-2023-1345038,kolkata-knight-riders-vs-lucknow-super-giants-68th-match-1359542,Krunal Pandya (c),c Singh b Narine,9,8,13,0,1,112.50,Lucknow Super Giants
1,indian-premier-league-2023-1345038,kolkata-knight-riders-vs-lucknow-super-giants-68th-match-1359542,Ayush Badoni,c Thakur b Narine,25,21,42,2,1,119.04,Lucknow Super Giants
1,indian-premier-league-2023-1345038,kolkata-knight-riders-vs-lucknow-super-giants-68th-match-1359542,Nicholas Pooran,c Iyer b Thakur,58,30,42,4,5,193.33,Lucknow Super Giants
1,indian-premier-league-2023-1345038,kolkata-knight-riders-vs-lucknow-super-giants-68th-match-1359542,Krishnappa Gowtham,not out ,11,4,9,1,1,275.00,Lucknow Super Giants
1,indian-premier-league-2023-1345038,kolkata-knight-riders-vs-lucknow-super-giants-68th-match-1359542,Ravi Bishnoi, b Thakur,2,2,3,0,0,100.00,Lucknow Super Giants
1,indian-premier-league-2023-1345038,kolkata-knight-riders-vs-lucknow-super-giants-68th-match-1359542,Naveen-ul-Haq,not out ,2,3,3,0,0,66.66,Lucknow Super Giants
2,indian-premier-league-2023-1345038,kolkata-knight-riders-vs-lucknow-super-giants-68th-match-1359542,Jason Roy, b Pandya,45,28,44,7,1,160.71,Kolkata Knight Riders
2,indian-premier-league-2023-1345038,kolkata-knight-riders-vs-lucknow-super-giants-68th-match-1359542,Venkatesh Iyer,c Ravi Bishnoi b Gowtham,24,15,25,3,1,160.00,Kolkata Knight Riders
2,indian-premier-league-2023-1345038,kolkata-knight-riders-vs-lucknow-super-giants-68th-match-1359542,Nitish Rana (c),c Pandya b Ravi Bishnoi,8,10,13,1,0,80.00,Kolkata Knight Riders
2,indian-premier-league-2023-1345038,kolkata-knight-riders-vs-lucknow-super-giants-68th-match-1359542,Rahmanullah Gurbaz,c Ravi Bishnoi b Yash Thakur,10,15,25,0,0,66.66,Kolkata Knight Riders
2,indian-premier-league-2023-1345038,kolkata-knight-riders-vs-lucknow-super-giants-68th-match-1359542,Rinku Singh,not out ,67,33,62,6,4,203.03,Kolkata Knight Riders
2,indian-premier-league-2023-1345038,kolkata-knight-riders-vs-lucknow-super-giants-68th-match-1359542,Andre Russell, b Ravi Bishnoi,7,9,13,0,1,77.77,Kolkata Knight Riders
2,indian-premier-league-2023-1345038,kolkata-knight-riders-vs-lucknow-super-giants-68th-match-1359542,Shardul Thakur,c Mankad b Yash Thakur,3,7,14,0,0,42.85,Kolkata Knight Riders
2,indian-premier-league-2023-1345038,kolkata-knight-riders-vs-lucknow-super-giants-68th-match-1359542,Sunil Narine,run out (Naveen-ul-Haq/de Kock),1,2,4,0,0,50.00,Kolkata Knight Riders
2,indian-premier-league-2023-1345038,kolkata-knight-riders-vs-lucknow-super-giants-68th-match-1359542,Vaibhav Arora,not out ,1,1,15,0,0,100.00,Kolkata Knight Riders
