innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,indian-premier-league-2023-1345038,kolkata-knight-riders-vs-lucknow-super-giants-68th-match-1359542,Harshit Rana,3,0,21,1,7.00,11,3,1,0,0,Kolkata Knight Riders
1,indian-premier-league-2023-1345038,kolkata-knight-riders-vs-lucknow-super-giants-68th-match-1359542,Vaibhav Arora,4,0,30,2,7.50,9,1,1,3,1,Kolkata Knight Riders
1,indian-premier-league-2023-1345038,kolkata-knight-riders-vs-lucknow-super-giants-68th-match-1359542,Varun Chakravarthy,4,0,38,1,9.50,10,4,2,0,0,Kolkata Knight Riders
1,indian-premier-league-2023-1345038,kolkata-knight-riders-vs-lucknow-super-giants-68th-match-1359542,Nitish Rana,1,0,3,0,3.00,4,0,0,0,0,Kolkata Knight Riders
1,indian-premier-league-2023-1345038,kolkata-knight-riders-vs-lucknow-super-giants-68th-match-1359542,Shardul Thakur,2,0,27,2,13.50,3,0,3,1,1,Kolkata Knight Riders
1,indian-premier-league-2023-1345038,kolkata-knight-riders-vs-lucknow-super-giants-68th-match-1359542,Sunil Narine,4,0,28,2,7.00,8,2,1,1,0,Kolkata Knight Riders
1,indian-premier-league-2023-1345038,kolkata-knight-riders-vs-lucknow-super-giants-68th-match-1359542,Suyash Sharma,1,0,12,0,12.00,2,1,1,0,0,Kolkata Knight Riders
1,indian-premier-league-2023-1345038,kolkata-knight-riders-vs-lucknow-super-giants-68th-match-1359542,Andre Russell,1,0,12,0,12.00,2,1,1,0,0,Kolkata Knight Riders
2,indian-premier-league-2023-1345038,kolkata-knight-riders-vs-lucknow-super-giants-68th-match-1359542,Mohsin Khan,1,0,15,0,15.00,2,2,1,0,0,Lucknow Super Giants
2,indian-premier-league-2023-1345038,kolkata-knight-riders-vs-lucknow-super-giants-68th-match-1359542,Naveen-ul-Haq,4,0,46,0,11.50,8,6,2,0,0,Lucknow Super Giants
2,indian-premier-league-2023-1345038,kolkata-knight-riders-vs-lucknow-super-giants-68th-match-1359542,Krunal Pandya,4,0,30,1,7.50,9,5,0,0,0,Lucknow Super Giants
2,indian-premier-league-2023-1345038,kolkata-knight-riders-vs-lucknow-super-giants-68th-match-1359542,Krishnappa Gowtham,4,0,26,1,6.50,9,2,0,2,0,Lucknow Super Giants
2,indian-premier-league-2023-1345038,kolkata-knight-riders-vs-lucknow-super-giants-68th-match-1359542,Ravi Bishnoi,4,0,23,2,5.75,10,1,1,0,0,Lucknow Super Giants
2,indian-premier-league-2023-1345038,kolkata-knight-riders-vs-lucknow-super-giants-68th-match-1359542,Yash Thakur,3,0,31,2,10.33,9,1,3,3,0,Lucknow Super Giants
