innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,indian-premier-league-2023-1345038,kolkata-knight-riders-vs-punjab-kings-53rd-match-1359527,Vaibhav Arora,3,0,32,0,10.66,8,7,0,1,0,Kolkata Knight Riders
1,indian-premier-league-2023-1345038,kolkata-knight-riders-vs-punjab-kings-53rd-match-1359527,Harshit Rana,3,0,33,2,11.00,9,4,2,0,1,Kolkata Knight Riders
1,indian-premier-league-2023-1345038,kolkata-knight-riders-vs-punjab-kings-53rd-match-1359527,Andre Russell,1,0,19,0,19.00,1,4,0,0,1,Kolkata Knight Riders
1,indian-premier-league-2023-1345038,kolkata-knight-riders-vs-punjab-kings-53rd-match-1359527,Varun Chakravarthy,4,0,26,3,6.50,11,2,1,1,0,Kolkata Knight Riders
1,indian-premier-league-2023-1345038,kolkata-knight-riders-vs-punjab-kings-53rd-match-1359527,Suyash Sharma,4,0,26,1,6.50,12,1,2,1,0,Kolkata Knight Riders
1,indian-premier-league-2023-1345038,kolkata-knight-riders-vs-punjab-kings-53rd-match-1359527,Sunil Narine,4,0,29,0,7.25,9,2,1,1,0,Kolkata Knight Riders
1,indian-premier-league-2023-1345038,kolkata-knight-riders-vs-punjab-kings-53rd-match-1359527,Nitish Rana,1,0,7,1,7.00,3,1,0,0,0,Kolkata Knight Riders
2,indian-premier-league-2023-1345038,kolkata-knight-riders-vs-punjab-kings-53rd-match-1359527,Rishi Dhawan,2,0,15,0,7.50,5,2,0,0,0,Punjab Kings
2,indian-premier-league-2023-1345038,kolkata-knight-riders-vs-punjab-kings-53rd-match-1359527,Arshdeep Singh,4,0,39,0,9.75,10,6,1,1,0,Punjab Kings
2,indian-premier-league-2023-1345038,kolkata-knight-riders-vs-punjab-kings-53rd-match-1359527,Nathan Ellis,4,0,29,1,7.25,7,2,1,0,0,Punjab Kings
2,indian-premier-league-2023-1345038,kolkata-knight-riders-vs-punjab-kings-53rd-match-1359527,Sam Curran,3,0,44,0,14.66,5,5,3,1,0,Punjab Kings
2,indian-premier-league-2023-1345038,kolkata-knight-riders-vs-punjab-kings-53rd-match-1359527,Liam Livingstone,2,0,27,0,13.50,2,4,1,0,0,Punjab Kings
2,indian-premier-league-2023-1345038,kolkata-knight-riders-vs-punjab-kings-53rd-match-1359527,Harpreet Brar,1,0,4,1,4.00,2,0,0,0,0,Punjab Kings
2,indian-premier-league-2023-1345038,kolkata-knight-riders-vs-punjab-kings-53rd-match-1359527,Rahul Chahar,4,0,23,2,5.75,8,1,0,1,0,Punjab Kings
