innings,series,game,Player,Out Type,Runs,B,M,4s,6s,SR,team
1,indian-premier-league-2023-1345038,kolkata-knight-riders-vs-rajasthan-royals-56th-match-1359530,Jason Roy,c Hetmyer b Boult,10,8,14,2,0,125.00,Kolkata Knight Riders
1,indian-premier-league-2023-1345038,kolkata-knight-riders-vs-rajasthan-royals-56th-match-1359530,Rahmanullah Gurbaz,c Sandeep Sharma b Boult,18,12,23,1,2,150.00,Kolkata Knight Riders
1,indian-premier-league-2023-1345038,kolkata-knight-riders-vs-rajasthan-royals-56th-match-1359530,Venkatesh Iyer,c Boult b Chahal,57,42,68,2,4,135.71,Kolkata Knight Riders
1,indian-premier-league-2023-1345038,kolkata-knight-riders-vs-rajasthan-royals-56th-match-1359530,Nitish Rana (c),c Hetmyer b Chahal,22,17,26,2,0,129.41,Kolkata Knight Riders
1,indian-premier-league-2023-1345038,kolkata-knight-riders-vs-rajasthan-royals-56th-match-1359530,Andre Russell,c Ashwin b Asif,10,10,19,0,1,100.00,Kolkata Knight Riders
1,indian-premier-league-2023-1345038,kolkata-knight-riders-vs-rajasthan-royals-56th-match-1359530,Rinku Singh,c Root b Chahal,16,18,30,0,1,88.88,Kolkata Knight Riders
1,indian-premier-league-2023-1345038,kolkata-knight-riders-vs-rajasthan-royals-56th-match-1359530,Shardul Thakur,lbw b Chahal,1,2,5,0,0,50.00,Kolkata Knight Riders
1,indian-premier-league-2023-1345038,kolkata-knight-riders-vs-rajasthan-royals-56th-match-1359530,Anukul Roy,not out ,6,6,20,0,0,100.00,Kolkata Knight Riders
1,indian-premier-league-2023-1345038,kolkata-knight-riders-vs-rajasthan-royals-56th-match-1359530,Sunil Narine,c Root b Sandeep Sharma,6,5,9,1,0,120.00,Kolkata Knight Riders
2,indian-premier-league-2023-1345038,kolkata-knight-riders-vs-rajasthan-royals-56th-match-1359530,Yashasvi Jaiswal,not out ,98,47,62,12,5,208.51,Rajasthan Royals
2,indian-premier-league-2023-1345038,kolkata-knight-riders-vs-rajasthan-royals-56th-match-1359530,Jos Buttler,run out (Russell),0,3,10,0,0,0.00,Rajasthan Royals
2,indian-premier-league-2023-1345038,kolkata-knight-riders-vs-rajasthan-royals-56th-match-1359530,Sanju Samson (c)†,not out ,48,29,53,2,5,165.51,Rajasthan Royals
