innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,indian-premier-league-2023-1345038,lucknow-super-giants-vs-gujarat-titans-30th-match-1359504,Naveen-ul-Haq,4,0,19,1,4.75,12,1,0,0,0,Lucknow Super Giants
1,indian-premier-league-2023-1345038,lucknow-super-giants-vs-gujarat-titans-30th-match-1359504,Krunal Pandya,4,0,16,2,4.00,13,1,0,0,0,Lucknow Super Giants
1,indian-premier-league-2023-1345038,lucknow-super-giants-vs-gujarat-titans-30th-match-1359504,Avesh Khan,3,0,21,0,7.00,6,2,0,0,0,Lucknow Super Giants
1,indian-premier-league-2023-1345038,lucknow-super-giants-vs-gujarat-titans-30th-match-1359504,Ravi Bishnoi,4,0,49,0,12.25,4,4,3,0,0,Lucknow Super Giants
1,indian-premier-league-2023-1345038,lucknow-super-giants-vs-gujarat-titans-30th-match-1359504,Marcus Stoinis,3,0,20,2,6.66,7,1,1,0,0,Lucknow Super Giants
1,indian-premier-league-2023-1345038,lucknow-super-giants-vs-gujarat-titans-30th-match-1359504,Amit Mishra,2,0,9,1,4.50,4,0,0,0,0,Lucknow Super Giants
2,indian-premier-league-2023-1345038,lucknow-super-giants-vs-gujarat-titans-30th-match-1359504,Mohammed Shami,3,1,18,0,6.00,9,3,0,0,0,Gujarat Titans
2,indian-premier-league-2023-1345038,lucknow-super-giants-vs-gujarat-titans-30th-match-1359504,Jayant Yadav,4,0,26,0,6.50,8,2,0,0,0,Gujarat Titans
2,indian-premier-league-2023-1345038,lucknow-super-giants-vs-gujarat-titans-30th-match-1359504,Rashid Khan,4,0,33,1,8.25,9,4,1,0,0,Gujarat Titans
2,indian-premier-league-2023-1345038,lucknow-super-giants-vs-gujarat-titans-30th-match-1359504,Mohit Sharma,3,0,17,2,5.66,5,1,0,0,0,Gujarat Titans
2,indian-premier-league-2023-1345038,lucknow-super-giants-vs-gujarat-titans-30th-match-1359504,Noor Ahmad,4,0,18,2,4.50,13,1,0,0,0,Gujarat Titans
2,indian-premier-league-2023-1345038,lucknow-super-giants-vs-gujarat-titans-30th-match-1359504,Hardik Pandya,1,0,7,0,7.00,2,1,0,0,0,Gujarat Titans
2,indian-premier-league-2023-1345038,lucknow-super-giants-vs-gujarat-titans-30th-match-1359504,Rahul Tewatia,1,0,8,0,8.00,4,0,1,1,0,Gujarat Titans
