innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,indian-premier-league-2023-1345038,lucknow-super-giants-vs-royal-challengers-bangalore-43rd-match-1359517,Krunal Pandya,4,0,21,0,5.25,8,1,0,0,0,Lucknow Super Giants
1,indian-premier-league-2023-1345038,lucknow-super-giants-vs-royal-challengers-bangalore-43rd-match-1359517,Marcus Stoinis,1,0,11,0,11.00,0,1,0,0,0,Lucknow Super Giants
1,indian-premier-league-2023-1345038,lucknow-super-giants-vs-royal-challengers-bangalore-43rd-match-1359517,Naveen-ul-Haq,4,0,30,3,7.50,8,3,1,0,0,Lucknow Super Giants
1,indian-premier-league-2023-1345038,lucknow-super-giants-vs-royal-challengers-bangalore-43rd-match-1359517,Ravi Bishnoi,4,0,21,2,5.25,7,0,0,0,0,Lucknow Super Giants
1,indian-premier-league-2023-1345038,lucknow-super-giants-vs-royal-challengers-bangalore-43rd-match-1359517,Amit Mishra,3,0,21,2,7.00,4,0,1,0,0,Lucknow Super Giants
1,indian-premier-league-2023-1345038,lucknow-super-giants-vs-royal-challengers-bangalore-43rd-match-1359517,Yash Thakur,2,0,12,0,6.00,6,1,0,2,0,Lucknow Super Giants
1,indian-premier-league-2023-1345038,lucknow-super-giants-vs-royal-challengers-bangalore-43rd-match-1359517,Krishnappa Gowtham,2,0,10,1,5.00,5,0,0,0,0,Lucknow Super Giants
2,indian-premier-league-2023-1345038,lucknow-super-giants-vs-royal-challengers-bangalore-43rd-match-1359517,Mohammed Siraj,3,0,24,1,8.00,11,4,0,3,1,Royal Challengers Bangalore
2,indian-premier-league-2023-1345038,lucknow-super-giants-vs-royal-challengers-bangalore-43rd-match-1359517,Josh Hazlewood,3,0,15,2,5.00,13,1,1,0,1,Royal Challengers Bangalore
2,indian-premier-league-2023-1345038,lucknow-super-giants-vs-royal-challengers-bangalore-43rd-match-1359517,Glenn Maxwell,1,0,3,1,3.00,3,0,0,0,0,Royal Challengers Bangalore
2,indian-premier-league-2023-1345038,lucknow-super-giants-vs-royal-challengers-bangalore-43rd-match-1359517,Wanindu Hasaranga,4,0,20,1,5.00,14,0,2,0,0,Royal Challengers Bangalore
2,indian-premier-league-2023-1345038,lucknow-super-giants-vs-royal-challengers-bangalore-43rd-match-1359517,Karn Sharma,4,0,20,2,5.00,12,1,1,0,0,Royal Challengers Bangalore
2,indian-premier-league-2023-1345038,lucknow-super-giants-vs-royal-challengers-bangalore-43rd-match-1359517,Harshal Patel,3.5,0,20,1,5.21,9,2,0,0,0,Royal Challengers Bangalore
2,indian-premier-league-2023-1345038,lucknow-super-giants-vs-royal-challengers-bangalore-43rd-match-1359517,Mahipal Lomror,1,0,4,0,4.00,2,0,0,0,0,Royal Challengers Bangalore
