innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,indian-premier-league-2023-1345038,mumbai-indians-vs-royal-challengers-bangalore-54th-match-1359528,Jason Behrendorff,4,0,36,3,9.00,9,5,1,0,0,Mumbai Indians
1,indian-premier-league-2023-1345038,mumbai-indians-vs-royal-challengers-bangalore-54th-match-1359528,Piyush Chawla,4,0,41,0,10.25,8,5,2,0,0,Mumbai Indians
1,indian-premier-league-2023-1345038,mumbai-indians-vs-royal-challengers-bangalore-54th-match-1359528,Cameron Green,2,0,15,1,7.50,6,3,0,0,0,Mumbai Indians
1,indian-premier-league-2023-1345038,mumbai-indians-vs-royal-challengers-bangalore-54th-match-1359528,Chris Jordan,4,0,48,1,12.00,7,4,3,1,0,Mumbai Indians
1,indian-premier-league-2023-1345038,mumbai-indians-vs-royal-challengers-bangalore-54th-match-1359528,Kumar Kartikeya,4,0,35,1,8.75,6,3,1,1,0,Mumbai Indians
1,indian-premier-league-2023-1345038,mumbai-indians-vs-royal-challengers-bangalore-54th-match-1359528,Akash Madhwal,2,0,23,0,11.50,1,1,1,0,1,Mumbai Indians
2,indian-premier-league-2023-1345038,mumbai-indians-vs-royal-challengers-bangalore-54th-match-1359528,Mohammed Siraj,3,0,31,0,10.33,10,2,3,1,0,Royal Challengers Bangalore
2,indian-premier-league-2023-1345038,mumbai-indians-vs-royal-challengers-bangalore-54th-match-1359528,Josh Hazlewood,3,0,32,0,10.66,7,5,1,1,0,Royal Challengers Bangalore
2,indian-premier-league-2023-1345038,mumbai-indians-vs-royal-challengers-bangalore-54th-match-1359528,Wanindu Hasaranga,4,0,53,2,13.25,5,2,5,1,0,Royal Challengers Bangalore
2,indian-premier-league-2023-1345038,mumbai-indians-vs-royal-challengers-bangalore-54th-match-1359528,Vijaykumar Vyshak,3,0,37,2,12.33,7,2,3,1,1,Royal Challengers Bangalore
2,indian-premier-league-2023-1345038,mumbai-indians-vs-royal-challengers-bangalore-54th-match-1359528,Harshal Patel,3.3,0,41,0,11.71,3,5,1,1,1,Royal Challengers Bangalore
