innings,series,game,Player,Out Type,Runs,B,M,4s,6s,SR,team
1,indian-premier-league-2023-1345038,mumbai-indians-vs-sunrisers-hyderabad-69th-match-1359543,Vivrant Sharma,c sub (Ramandeep Singh) b Madhwal,69,47,69,9,2,146.80,Sunrisers Hyderabad
1,indian-premier-league-2023-1345038,mumbai-indians-vs-sunrisers-hyderabad-69th-match-1359543,Mayank Agarwal,c Ishan Kishan b Madhwal,83,46,84,8,4,180.43,Sunrisers Hyderabad
1,indian-premier-league-2023-1345038,mumbai-indians-vs-sunrisers-hyderabad-69th-match-1359543,Heinrich Klaasen, b Madhwal,18,13,31,2,0,138.46,Sunrisers Hyderabad
1,indian-premier-league-2023-1345038,mumbai-indians-vs-sunrisers-hyderabad-69th-match-1359543,Glenn Phillips,c Kartikeya b Jordan,1,4,8,0,0,25.00,Sunrisers Hyderabad
1,indian-premier-league-2023-1345038,mumbai-indians-vs-sunrisers-hyderabad-69th-match-1359543,Aiden Markram (c),not out ,13,7,19,0,1,185.71,Sunrisers Hyderabad
1,indian-premier-league-2023-1345038,mumbai-indians-vs-sunrisers-hyderabad-69th-match-1359543,Harry Brook, b Madhwal,0,1,2,0,0,0.00,Sunrisers Hyderabad
1,indian-premier-league-2023-1345038,mumbai-indians-vs-sunrisers-hyderabad-69th-match-1359543,Sanvir Singh,not out ,4,3,8,1,0,133.33,Sunrisers Hyderabad
2,indian-premier-league-2023-1345038,mumbai-indians-vs-sunrisers-hyderabad-69th-match-1359543,Ishan Kishan,c Brook b Kumar,14,12,14,1,1,116.66,Mumbai Indians
2,indian-premier-league-2023-1345038,mumbai-indians-vs-sunrisers-hyderabad-69th-match-1359543,Rohit Sharma (c),c Nitish Kumar Reddy b Dagar,56,37,72,8,1,151.35,Mumbai Indians
2,indian-premier-league-2023-1345038,mumbai-indians-vs-sunrisers-hyderabad-69th-match-1359543,Cameron Green,not out ,100,47,85,8,8,212.76,Mumbai Indians
2,indian-premier-league-2023-1345038,mumbai-indians-vs-sunrisers-hyderabad-69th-match-1359543,Suryakumar Yadav,not out ,25,16,27,4,0,156.25,Mumbai Indians
