innings,series,game,Player,Out Type,Runs,B,M,4s,6s,SR,team
1,indian-premier-league-2023-1345038,punjab-kings-vs-kolkata-knight-riders-2nd-match-1359476,Prabhsimran Singh,c Rahmanullah Gurbaz b Southee,23,12,10,2,2,191.66,Punjab Kings
1,indian-premier-league-2023-1345038,punjab-kings-vs-kolkata-knight-riders-2nd-match-1359476,Shikhar Dhawan (c), b Varun,40,29,75,6,0,137.93,Punjab Kings
1,indian-premier-league-2023-1345038,punjab-kings-vs-kolkata-knight-riders-2nd-match-1359476,Bhanuka Rajapaksa,c Singh b Yadav,50,32,47,5,2,156.25,Punjab Kings
1,indian-premier-league-2023-1345038,punjab-kings-vs-kolkata-knight-riders-2nd-match-1359476,Jitesh Sharma,c Yadav b Southee,21,11,13,1,2,190.90,Punjab Kings
1,indian-premier-league-2023-1345038,punjab-kings-vs-kolkata-knight-riders-2nd-match-1359476,Sikandar Raza,c Rana b Narine,16,13,22,1,1,123.07,Punjab Kings
1,indian-premier-league-2023-1345038,punjab-kings-vs-kolkata-knight-riders-2nd-match-1359476,Sam Curran,not out ,26,17,27,0,2,152.94,Punjab Kings
1,indian-premier-league-2023-1345038,punjab-kings-vs-kolkata-knight-riders-2nd-match-1359476,M Shahrukh Khan,not out ,11,7,11,2,0,157.14,Punjab Kings
2,indian-premier-league-2023-1345038,punjab-kings-vs-kolkata-knight-riders-2nd-match-1359476,Mandeep Singh,c Curran b Arshdeep Singh,2,4,7,0,0,50.00,Kolkata Knight Riders
2,indian-premier-league-2023-1345038,punjab-kings-vs-kolkata-knight-riders-2nd-match-1359476,Rahmanullah Gurbaz, b Ellis,22,16,26,3,1,137.50,Kolkata Knight Riders
2,indian-premier-league-2023-1345038,punjab-kings-vs-kolkata-knight-riders-2nd-match-1359476,Anukul Roy,c Sikandar Raza b Arshdeep Singh,4,5,5,1,0,80.00,Kolkata Knight Riders
2,indian-premier-league-2023-1345038,punjab-kings-vs-kolkata-knight-riders-2nd-match-1359476,Venkatesh Iyer,c Chahar b Arshdeep Singh,34,28,66,3,1,121.42,Kolkata Knight Riders
2,indian-premier-league-2023-1345038,punjab-kings-vs-kolkata-knight-riders-2nd-match-1359476,Nitish Rana (c),c Chahar b Sikandar Raza,24,17,23,3,1,141.17,Kolkata Knight Riders
2,indian-premier-league-2023-1345038,punjab-kings-vs-kolkata-knight-riders-2nd-match-1359476,Rinku Singh,c Sikandar Raza b Chahar,4,4,5,0,0,100.00,Kolkata Knight Riders
2,indian-premier-league-2023-1345038,punjab-kings-vs-kolkata-knight-riders-2nd-match-1359476,Andre Russell,c Sikandar Raza b Curran,35,19,24,3,2,184.21,Kolkata Knight Riders
2,indian-premier-league-2023-1345038,punjab-kings-vs-kolkata-knight-riders-2nd-match-1359476,Shardul Thakur,not out ,8,3,8,0,1,266.66,Kolkata Knight Riders
2,indian-premier-league-2023-1345038,punjab-kings-vs-kolkata-knight-riders-2nd-match-1359476,Sunil Narine,not out ,7,2,4,0,1,350.00,Kolkata Knight Riders
