innings,series,game,Player,Out Type,Runs,B,M,4s,6s,SR,team
1,indian-premier-league-2023-1345038,punjab-kings-vs-lucknow-super-giants-38th-match-1359512,KL Rahul (c),c Shahrukh Khan b Rabada,12,9,19,1,1,133.33,Lucknow Super Giants
1,indian-premier-league-2023-1345038,punjab-kings-vs-lucknow-super-giants-38th-match-1359512,Kyle Mayers,c Dhawan b Rabada,54,24,31,7,4,225.00,Lucknow Super Giants
1,indian-premier-league-2023-1345038,punjab-kings-vs-lucknow-super-giants-38th-match-1359512,Ayush Badoni,c Chahar b Livingstone,43,24,49,3,3,179.16,Lucknow Super Giants
1,indian-premier-league-2023-1345038,punjab-kings-vs-lucknow-super-giants-38th-match-1359512,Marcus Stoinis,c Sharma b Curran,72,40,63,6,5,180.00,Lucknow Super Giants
1,indian-premier-league-2023-1345038,punjab-kings-vs-lucknow-super-giants-38th-match-1359512,Nicholas Pooran,lbw b Arshdeep Singh,45,19,36,7,1,236.84,Lucknow Super Giants
1,indian-premier-league-2023-1345038,punjab-kings-vs-lucknow-super-giants-38th-match-1359512,Deepak Hooda,not out ,11,6,12,2,0,183.33,Lucknow Super Giants
1,indian-premier-league-2023-1345038,punjab-kings-vs-lucknow-super-giants-38th-match-1359512,Krunal Pandya,not out ,5,2,3,1,0,250.00,Lucknow Super Giants
2,indian-premier-league-2023-1345038,punjab-kings-vs-lucknow-super-giants-38th-match-1359512,Prabhsimran Singh,c sub (DR Sams) b Naveen-ul-Haq,9,13,24,2,0,69.23,Punjab Kings
2,indian-premier-league-2023-1345038,punjab-kings-vs-lucknow-super-giants-38th-match-1359512,Shikhar Dhawan (c),c Pandya b Stoinis,1,2,5,0,0,50.00,Punjab Kings
2,indian-premier-league-2023-1345038,punjab-kings-vs-lucknow-super-giants-38th-match-1359512,Atharva Taide,c & b Ravi Bishnoi,66,36,67,8,2,183.33,Punjab Kings
2,indian-premier-league-2023-1345038,punjab-kings-vs-lucknow-super-giants-38th-match-1359512,Sikandar Raza,c Pandya b Yash Thakur,36,22,41,4,1,163.63,Punjab Kings
2,indian-premier-league-2023-1345038,punjab-kings-vs-lucknow-super-giants-38th-match-1359512,Liam Livingstone,lbw b Ravi Bishnoi,23,14,19,2,1,164.28,Punjab Kings
2,indian-premier-league-2023-1345038,punjab-kings-vs-lucknow-super-giants-38th-match-1359512,Sam Curran,c Badoni b Naveen-ul-Haq,21,11,24,2,1,190.90,Punjab Kings
2,indian-premier-league-2023-1345038,punjab-kings-vs-lucknow-super-giants-38th-match-1359512,Jitesh Sharma,c Rahul b Yash Thakur,24,10,17,0,3,240.00,Punjab Kings
2,indian-premier-league-2023-1345038,punjab-kings-vs-lucknow-super-giants-38th-match-1359512,M Shahrukh Khan,c Ravi Bishnoi b Yash Thakur,6,9,18,0,0,66.66,Punjab Kings
2,indian-premier-league-2023-1345038,punjab-kings-vs-lucknow-super-giants-38th-match-1359512,Rahul Chahar,c Hooda b Yash Thakur,0,1,3,0,0,0.00,Punjab Kings
2,indian-premier-league-2023-1345038,punjab-kings-vs-lucknow-super-giants-38th-match-1359512,Kagiso Rabada, b Naveen-ul-Haq,0,1,5,0,0,0.00,Punjab Kings
2,indian-premier-league-2023-1345038,punjab-kings-vs-lucknow-super-giants-38th-match-1359512,Arshdeep Singh,not out ,2,2,6,0,0,100.00,Punjab Kings
