innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,indian-premier-league-2023-1345038,punjab-kings-vs-lucknow-super-giants-38th-match-1359512,Gurnoor Brar,3,0,42,0,14.00,7,4,3,1,2,Punjab Kings
1,indian-premier-league-2023-1345038,punjab-kings-vs-lucknow-super-giants-38th-match-1359512,Arshdeep Singh,4,0,54,1,13.50,4,10,0,2,0,Punjab Kings
1,indian-premier-league-2023-1345038,punjab-kings-vs-lucknow-super-giants-38th-match-1359512,Kagiso Rabada,4,0,52,2,13.00,12,3,5,2,2,Punjab Kings
1,indian-premier-league-2023-1345038,punjab-kings-vs-lucknow-super-giants-38th-match-1359512,Sikandar Raza,1,0,17,0,17.00,2,1,2,0,0,Punjab Kings
1,indian-premier-league-2023-1345038,punjab-kings-vs-lucknow-super-giants-38th-match-1359512,Rahul Chahar,4,0,29,0,7.25,8,2,1,0,0,Punjab Kings
1,indian-premier-league-2023-1345038,punjab-kings-vs-lucknow-super-giants-38th-match-1359512,Sam Curran,3,0,38,1,12.66,5,4,2,0,0,Punjab Kings
1,indian-premier-league-2023-1345038,punjab-kings-vs-lucknow-super-giants-38th-match-1359512,Liam Livingstone,1,0,19,1,19.00,1,3,1,0,0,Punjab Kings
2,indian-premier-league-2023-1345038,punjab-kings-vs-lucknow-super-giants-38th-match-1359512,Marcus Stoinis,1.5,0,21,1,11.45,5,2,1,4,0,Lucknow Super Giants
2,indian-premier-league-2023-1345038,punjab-kings-vs-lucknow-super-giants-38th-match-1359512,Kyle Mayers,1,0,4,0,4.00,5,1,0,0,0,Lucknow Super Giants
2,indian-premier-league-2023-1345038,punjab-kings-vs-lucknow-super-giants-38th-match-1359512,Ayush Badoni,0.1,0,0,0,0.00,1,0,0,0,0,Lucknow Super Giants
2,indian-premier-league-2023-1345038,punjab-kings-vs-lucknow-super-giants-38th-match-1359512,Naveen-ul-Haq,4,0,30,3,7.50,11,2,0,1,1,Lucknow Super Giants
2,indian-premier-league-2023-1345038,punjab-kings-vs-lucknow-super-giants-38th-match-1359512,Avesh Khan,2,0,28,0,14.00,1,3,1,0,0,Lucknow Super Giants
2,indian-premier-league-2023-1345038,punjab-kings-vs-lucknow-super-giants-38th-match-1359512,Amit Mishra,2,0,23,0,11.50,1,2,1,0,0,Lucknow Super Giants
2,indian-premier-league-2023-1345038,punjab-kings-vs-lucknow-super-giants-38th-match-1359512,Ravi Bishnoi,4,0,41,2,10.25,9,4,2,0,1,Lucknow Super Giants
2,indian-premier-league-2023-1345038,punjab-kings-vs-lucknow-super-giants-38th-match-1359512,Yash Thakur,3.5,0,37,4,9.65,9,3,2,1,0,Lucknow Super Giants
2,indian-premier-league-2023-1345038,punjab-kings-vs-lucknow-super-giants-38th-match-1359512,Krunal Pandya,1,0,13,0,13.00,2,1,1,1,0,Lucknow Super Giants
