innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,indian-premier-league-2023-1345038,punjab-kings-vs-mumbai-indians-46th-match-1359520,Cameron Green,2,0,15,0,7.50,7,2,0,0,0,Mumbai Indians
1,indian-premier-league-2023-1345038,punjab-kings-vs-mumbai-indians-46th-match-1359520,Arshad Khan,4,0,48,1,12.00,9,7,2,1,0,Mumbai Indians
1,indian-premier-league-2023-1345038,punjab-kings-vs-mumbai-indians-46th-match-1359520,Jofra Archer,4,0,56,0,14.00,4,4,3,2,1,Mumbai Indians
1,indian-premier-league-2023-1345038,punjab-kings-vs-mumbai-indians-46th-match-1359520,Piyush Chawla,4,0,29,2,7.25,7,4,0,0,0,Mumbai Indians
1,indian-premier-league-2023-1345038,punjab-kings-vs-mumbai-indians-46th-match-1359520,Kumar Kartikeya,3,0,24,0,8.00,3,0,1,3,0,Mumbai Indians
1,indian-premier-league-2023-1345038,punjab-kings-vs-mumbai-indians-46th-match-1359520,Akash Madhwal,3,0,37,0,12.33,1,3,1,0,1,Mumbai Indians
2,indian-premier-league-2023-1345038,punjab-kings-vs-mumbai-indians-46th-match-1359520,Rishi Dhawan,3,0,20,1,6.66,11,1,2,0,0,Punjab Kings
2,indian-premier-league-2023-1345038,punjab-kings-vs-mumbai-indians-46th-match-1359520,Arshdeep Singh,3.5,0,66,1,17.21,4,8,4,2,0,Punjab Kings
2,indian-premier-league-2023-1345038,punjab-kings-vs-mumbai-indians-46th-match-1359520,Sam Curran,3,0,41,0,13.66,3,5,2,1,0,Punjab Kings
2,indian-premier-league-2023-1345038,punjab-kings-vs-mumbai-indians-46th-match-1359520,Nathan Ellis,4,0,34,2,8.50,4,3,0,0,0,Punjab Kings
2,indian-premier-league-2023-1345038,punjab-kings-vs-mumbai-indians-46th-match-1359520,Rahul Chahar,3,0,30,0,10.00,5,5,0,0,0,Punjab Kings
2,indian-premier-league-2023-1345038,punjab-kings-vs-mumbai-indians-46th-match-1359520,Harpreet Brar,2,0,21,0,10.50,1,1,1,0,0,Punjab Kings
