innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,indian-premier-league-2023-1345038,punjab-kings-vs-rajasthan-royals-66th-match-1359540,Trent Boult,4,0,35,1,8.75,12,3,2,1,0,Rajasthan Royals
1,indian-premier-league-2023-1345038,punjab-kings-vs-rajasthan-royals-66th-match-1359540,Sandeep Sharma,4,0,46,0,11.50,6,3,3,2,1,Rajasthan Royals
1,indian-premier-league-2023-1345038,punjab-kings-vs-rajasthan-royals-66th-match-1359540,Navdeep Saini,4,0,40,3,10.00,9,6,1,1,0,Rajasthan Royals
1,indian-premier-league-2023-1345038,punjab-kings-vs-rajasthan-royals-66th-match-1359540,Adam Zampa,4,0,26,1,6.50,6,2,0,0,0,Rajasthan Royals
1,indian-premier-league-2023-1345038,punjab-kings-vs-rajasthan-royals-66th-match-1359540,Yuzvendra Chahal,4,0,40,0,10.00,9,3,3,1,0,Rajasthan Royals
2,indian-premier-league-2023-1345038,punjab-kings-vs-rajasthan-royals-66th-match-1359540,Sam Curran,4,0,46,1,11.50,9,8,1,2,0,Punjab Kings
2,indian-premier-league-2023-1345038,punjab-kings-vs-rajasthan-royals-66th-match-1359540,Kagiso Rabada,4,0,40,2,10.00,12,2,4,1,1,Punjab Kings
2,indian-premier-league-2023-1345038,punjab-kings-vs-rajasthan-royals-66th-match-1359540,Arshdeep Singh,4,0,40,1,10.00,11,4,2,3,0,Punjab Kings
2,indian-premier-league-2023-1345038,punjab-kings-vs-rajasthan-royals-66th-match-1359540,Nathan Ellis,4,0,34,1,8.50,8,3,1,1,0,Punjab Kings
2,indian-premier-league-2023-1345038,punjab-kings-vs-rajasthan-royals-66th-match-1359540,Rahul Chahar,3.4,0,28,1,7.63,5,1,1,0,0,Punjab Kings
