innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,indian-premier-league-2023-1345038,rajasthan-royals-vs-chennai-super-kings-37th-match-1359511,Akash Singh,2,0,32,0,16.00,3,6,1,0,0,Chennai Super Kings
1,indian-premier-league-2023-1345038,rajasthan-royals-vs-chennai-super-kings-37th-match-1359511,Tushar Deshpande,4,0,42,2,10.50,10,5,2,0,0,Chennai Super Kings
1,indian-premier-league-2023-1345038,rajasthan-royals-vs-chennai-super-kings-37th-match-1359511,Maheesh Theekshana,4,0,24,1,6.00,11,3,0,1,0,Chennai Super Kings
1,indian-premier-league-2023-1345038,rajasthan-royals-vs-chennai-super-kings-37th-match-1359511,Ravindra Jadeja,4,0,32,1,8.00,6,2,1,1,0,Chennai Super Kings
1,indian-premier-league-2023-1345038,rajasthan-royals-vs-chennai-super-kings-37th-match-1359511,Moeen Ali,2,0,17,0,8.50,2,0,1,0,0,Chennai Super Kings
1,indian-premier-league-2023-1345038,rajasthan-royals-vs-chennai-super-kings-37th-match-1359511,Matheesha Pathirana,4,0,48,0,12.00,5,5,1,2,0,Chennai Super Kings
2,indian-premier-league-2023-1345038,rajasthan-royals-vs-chennai-super-kings-37th-match-1359511,Sandeep Sharma,4,0,24,0,6.00,10,3,0,0,0,Rajasthan Royals
2,indian-premier-league-2023-1345038,rajasthan-royals-vs-chennai-super-kings-37th-match-1359511,Kuldip Yadav,3,0,18,1,6.00,4,1,0,0,0,Rajasthan Royals
2,indian-premier-league-2023-1345038,rajasthan-royals-vs-chennai-super-kings-37th-match-1359511,Jason Holder,4,0,49,0,12.25,4,4,3,1,0,Rajasthan Royals
2,indian-premier-league-2023-1345038,rajasthan-royals-vs-chennai-super-kings-37th-match-1359511,Ravichandran Ashwin,4,0,35,2,8.75,7,1,2,0,0,Rajasthan Royals
2,indian-premier-league-2023-1345038,rajasthan-royals-vs-chennai-super-kings-37th-match-1359511,Adam Zampa,3,0,22,3,7.33,7,2,1,0,0,Rajasthan Royals
2,indian-premier-league-2023-1345038,rajasthan-royals-vs-chennai-super-kings-37th-match-1359511,Yuzvendra Chahal,2,0,21,0,10.50,3,2,1,0,0,Rajasthan Royals
