innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,indian-premier-league-2023-1345038,sunrisers-hyderabad-vs-lucknow-super-giants-58th-match-1359532,Yudhvir Singh,3,0,24,1,8.00,8,4,0,1,0,Lucknow Super Giants
1,indian-premier-league-2023-1345038,sunrisers-hyderabad-vs-lucknow-super-giants-58th-match-1359532,Kyle Mayers,1,0,11,0,11.00,3,2,0,0,1,Lucknow Super Giants
1,indian-premier-league-2023-1345038,sunrisers-hyderabad-vs-lucknow-super-giants-58th-match-1359532,Krunal Pandya,4,0,24,2,6.00,12,2,1,0,0,Lucknow Super Giants
1,indian-premier-league-2023-1345038,sunrisers-hyderabad-vs-lucknow-super-giants-58th-match-1359532,Avesh Khan,2,0,30,1,15.00,2,5,1,0,0,Lucknow Super Giants
1,indian-premier-league-2023-1345038,sunrisers-hyderabad-vs-lucknow-super-giants-58th-match-1359532,Yash Thakur,4,0,28,1,7.00,11,1,2,0,0,Lucknow Super Giants
1,indian-premier-league-2023-1345038,sunrisers-hyderabad-vs-lucknow-super-giants-58th-match-1359532,Amit Mishra,4,0,40,1,10.00,8,2,3,1,0,Lucknow Super Giants
1,indian-premier-league-2023-1345038,sunrisers-hyderabad-vs-lucknow-super-giants-58th-match-1359532,Ravi Bishnoi,2,0,23,0,11.50,1,2,1,0,0,Lucknow Super Giants
2,indian-premier-league-2023-1345038,sunrisers-hyderabad-vs-lucknow-super-giants-58th-match-1359532,Bhuvneshwar Kumar,4,0,30,0,7.50,8,3,1,0,0,Sunrisers Hyderabad
2,indian-premier-league-2023-1345038,sunrisers-hyderabad-vs-lucknow-super-giants-58th-match-1359532,Fazalhaq Farooqi,3.2,0,32,0,9.60,8,5,0,4,0,Sunrisers Hyderabad
2,indian-premier-league-2023-1345038,sunrisers-hyderabad-vs-lucknow-super-giants-58th-match-1359532,Glenn Phillips,2,0,10,1,5.00,5,1,0,0,0,Sunrisers Hyderabad
2,indian-premier-league-2023-1345038,sunrisers-hyderabad-vs-lucknow-super-giants-58th-match-1359532,T Natarajan,4,0,31,0,7.75,8,1,2,0,0,Sunrisers Hyderabad
2,indian-premier-league-2023-1345038,sunrisers-hyderabad-vs-lucknow-super-giants-58th-match-1359532,Mayank Markande,3,0,39,1,13.00,2,4,2,0,0,Sunrisers Hyderabad
2,indian-premier-league-2023-1345038,sunrisers-hyderabad-vs-lucknow-super-giants-58th-match-1359532,Abhishek Sharma,3,0,42,1,14.00,6,1,5,1,0,Sunrisers Hyderabad
