innings,series,game,Player,Out Type,Runs,B,M,4s,6s,SR,team
1,indian-premier-league-2023-1345038,sunrisers-hyderabad-vs-punjab-kings-14th-match-1359488,Prabhsimran Singh,lbw b Kumar,0,1,2,0,0,0.00,Punjab Kings
1,indian-premier-league-2023-1345038,sunrisers-hyderabad-vs-punjab-kings-14th-match-1359488,Shikhar Dhawan (c),not out ,99,66,105,12,5,150.00,Punjab Kings
1,indian-premier-league-2023-1345038,sunrisers-hyderabad-vs-punjab-kings-14th-match-1359488,Matthew Short,lbw b Jansen,1,3,9,0,0,33.33,Punjab Kings
1,indian-premier-league-2023-1345038,sunrisers-hyderabad-vs-punjab-kings-14th-match-1359488,Jitesh Sharma,c Markram b Jansen,4,9,13,1,0,44.44,Punjab Kings
1,indian-premier-league-2023-1345038,sunrisers-hyderabad-vs-punjab-kings-14th-match-1359488,Sam Curran,c Kumar b Markande,22,15,25,3,1,146.66,Punjab Kings
1,indian-premier-league-2023-1345038,sunrisers-hyderabad-vs-punjab-kings-14th-match-1359488,Sikandar Raza,c Agarwal b Umran Malik,5,6,5,0,0,83.33,Punjab Kings
1,indian-premier-league-2023-1345038,sunrisers-hyderabad-vs-punjab-kings-14th-match-1359488,M Shahrukh Khan,lbw b Markande,4,3,7,1,0,133.33,Punjab Kings
1,indian-premier-league-2023-1345038,sunrisers-hyderabad-vs-punjab-kings-14th-match-1359488,Harpreet Brar, b Umran Malik,1,2,5,0,0,50.00,Punjab Kings
1,indian-premier-league-2023-1345038,sunrisers-hyderabad-vs-punjab-kings-14th-match-1359488,Rahul Chahar,lbw b Markande,0,8,10,0,0,0.00,Punjab Kings
1,indian-premier-league-2023-1345038,sunrisers-hyderabad-vs-punjab-kings-14th-match-1359488,Nathan Ellis, b Markande,0,5,10,0,0,0.00,Punjab Kings
1,indian-premier-league-2023-1345038,sunrisers-hyderabad-vs-punjab-kings-14th-match-1359488,Mohit Rathee,not out ,1,2,25,0,0,50.00,Punjab Kings
2,indian-premier-league-2023-1345038,sunrisers-hyderabad-vs-punjab-kings-14th-match-1359488,Harry Brook, b Arshdeep Singh,13,14,18,3,0,92.85,Sunrisers Hyderabad
2,indian-premier-league-2023-1345038,sunrisers-hyderabad-vs-punjab-kings-14th-match-1359488,Mayank Agarwal,c Curran b Chahar,21,20,38,3,0,105.00,Sunrisers Hyderabad
2,indian-premier-league-2023-1345038,sunrisers-hyderabad-vs-punjab-kings-14th-match-1359488,Rahul Tripathi,not out ,74,48,61,10,3,154.16,Sunrisers Hyderabad
2,indian-premier-league-2023-1345038,sunrisers-hyderabad-vs-punjab-kings-14th-match-1359488,Aiden Markram (c),not out ,37,21,41,6,0,176.19,Sunrisers Hyderabad
