innings,series,game,Player,Out Type,Runs,B,M,4s,6s,SR,team
1,ipl-2016-968923,delhi-daredevils-vs-rising-pune-supergiants-33rd-match-980965,Rishabh Pant, b Dinda,2,8,12,0,0,25.00,Delhi Daredevils
1,ipl-2016-968923,delhi-daredevils-vs-rising-pune-supergiants-33rd-match-980965,Sanju Samson,c R Ashwin b Boland,20,17,30,3,0,117.64,Delhi Daredevils
1,ipl-2016-968923,delhi-daredevils-vs-rising-pune-supergiants-33rd-match-980965,Karun Nair,c Perera b Bhatia,32,23,33,5,0,139.13,Delhi Daredevils
1,ipl-2016-968923,delhi-daredevils-vs-rising-pune-supergiants-33rd-match-980965,Jean-Paul Duminy (c),run out (Rahane/Dhoni),34,32,53,1,0,106.25,Delhi Daredevils
1,ipl-2016-968923,delhi-daredevils-vs-rising-pune-supergiants-33rd-match-980965,Sam Billings,c Rahane b Bhatia,24,15,25,1,2,160.00,Delhi Daredevils
1,ipl-2016-968923,delhi-daredevils-vs-rising-pune-supergiants-33rd-match-980965,Carlos Brathwaite,c Perera b Boland,20,8,9,0,3,250.00,Delhi Daredevils
1,ipl-2016-968923,delhi-daredevils-vs-rising-pune-supergiants-33rd-match-980965,Pawan Negi,not out ,19,12,15,1,1,158.33,Delhi Daredevils
1,ipl-2016-968923,delhi-daredevils-vs-rising-pune-supergiants-33rd-match-980965,Jayant Yadav,run out (Tiwary),1,3,3,0,0,33.33,Delhi Daredevils
1,ipl-2016-968923,delhi-daredevils-vs-rising-pune-supergiants-33rd-match-980965,Mohammed Shami,not out ,2,3,9,0,0,66.66,Delhi Daredevils
2,ipl-2016-968923,delhi-daredevils-vs-rising-pune-supergiants-33rd-match-980965,Ajinkya Rahane,not out ,63,48,94,7,0,131.25,Rising Pune Supergiants
2,ipl-2016-968923,delhi-daredevils-vs-rising-pune-supergiants-33rd-match-980965,Usman Khawaja,st Samson b Mishra,30,27,36,2,1,111.11,Rising Pune Supergiants
2,ipl-2016-968923,delhi-daredevils-vs-rising-pune-supergiants-33rd-match-980965,Saurabh Tiwary,c Billings b Imran Tahir,21,18,26,1,1,116.66,Rising Pune Supergiants
2,ipl-2016-968923,delhi-daredevils-vs-rising-pune-supergiants-33rd-match-980965,MS Dhoni (c)†,c Billings b Imran Tahir,27,20,22,1,2,135.00,Rising Pune Supergiants
2,ipl-2016-968923,delhi-daredevils-vs-rising-pune-supergiants-33rd-match-980965,Thisara Perera,not out ,14,5,7,0,2,280.00,Rising Pune Supergiants
