innings,series,game,Player,Out Type,Runs,B,M,4s,6s,SR,team
1,ipl-2016-968923,delhi-daredevils-vs-sunrisers-hyderabad-52nd-match-981003,David Warner (c),c Mishra b Brathwaite,73,56,80,8,1,130.35,Sunrisers Hyderabad
1,ipl-2016-968923,delhi-daredevils-vs-sunrisers-hyderabad-52nd-match-981003,Shikhar Dhawan,run out (Brathwaite),10,8,27,2,0,125.00,Sunrisers Hyderabad
1,ipl-2016-968923,delhi-daredevils-vs-sunrisers-hyderabad-52nd-match-981003,Deepak Hooda,run out (Mishra),1,1,3,0,0,100.00,Sunrisers Hyderabad
1,ipl-2016-968923,delhi-daredevils-vs-sunrisers-hyderabad-52nd-match-981003,Yuvraj Singh, b Brathwaite,10,11,16,1,0,90.90,Sunrisers Hyderabad
1,ipl-2016-968923,delhi-daredevils-vs-sunrisers-hyderabad-52nd-match-981003,Moises Henriques,c Negi b Duminy,18,13,20,2,0,138.46,Sunrisers Hyderabad
1,ipl-2016-968923,delhi-daredevils-vs-sunrisers-hyderabad-52nd-match-981003,Eoin Morgan,c Brathwaite b Coulter-Nile,14,10,22,0,1,140.00,Sunrisers Hyderabad
1,ipl-2016-968923,delhi-daredevils-vs-sunrisers-hyderabad-52nd-match-981003,Naman Ojha,not out ,16,14,24,0,1,114.28,Sunrisers Hyderabad
1,ipl-2016-968923,delhi-daredevils-vs-sunrisers-hyderabad-52nd-match-981003,Bhuvneshwar Kumar,run out (Nair/de Kock),13,7,12,2,0,185.71,Sunrisers Hyderabad
2,ipl-2016-968923,delhi-daredevils-vs-sunrisers-hyderabad-52nd-match-981003,Quinton de Kock,c Ojha b Sran,2,9,8,0,0,22.22,Delhi Daredevils
2,ipl-2016-968923,delhi-daredevils-vs-sunrisers-hyderabad-52nd-match-981003,Rishabh Pant,run out (Kumar),32,26,53,3,0,123.07,Delhi Daredevils
2,ipl-2016-968923,delhi-daredevils-vs-sunrisers-hyderabad-52nd-match-981003,Karun Nair,not out ,83,59,96,8,3,140.67,Delhi Daredevils
2,ipl-2016-968923,delhi-daredevils-vs-sunrisers-hyderabad-52nd-match-981003,Jean-Paul Duminy,c Warner b Sran,17,15,23,1,0,113.33,Delhi Daredevils
2,ipl-2016-968923,delhi-daredevils-vs-sunrisers-hyderabad-52nd-match-981003,Carlos Brathwaite,c Sran b Mustafizur Rahman,10,7,14,2,0,142.85,Delhi Daredevils
2,ipl-2016-968923,delhi-daredevils-vs-sunrisers-hyderabad-52nd-match-981003,Sanju Samson,not out ,3,4,11,0,0,75.00,Delhi Daredevils
