innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,ipl-2016-968923,gujarat-lions-vs-delhi-daredevils-31st-match-980961,Shahbaz Nadeem,3,0,23,2,7.66,7,3,0,1,0,Delhi Daredevils
1,ipl-2016-968923,gujarat-lions-vs-delhi-daredevils-31st-match-980961,Chris Morris,4,0,32,1,8.00,9,4,0,1,0,Delhi Daredevils
1,ipl-2016-968923,gujarat-lions-vs-delhi-daredevils-31st-match-980961,Zaheer Khan,4,0,27,1,6.75,12,3,0,1,0,Delhi Daredevils
1,ipl-2016-968923,gujarat-lions-vs-delhi-daredevils-31st-match-980961,Mohammed Shami,4,0,31,1,7.75,10,2,2,0,0,Delhi Daredevils
1,ipl-2016-968923,gujarat-lions-vs-delhi-daredevils-31st-match-980961,Amit Mishra,3,0,19,1,6.33,4,1,0,0,0,Delhi Daredevils
1,ipl-2016-968923,gujarat-lions-vs-delhi-daredevils-31st-match-980961,Jean-Paul Duminy,2,0,14,0,7.00,4,1,0,0,0,Delhi Daredevils
2,ipl-2016-968923,gujarat-lions-vs-delhi-daredevils-31st-match-980961,Praveen Kumar,2,0,20,0,10.00,4,2,1,1,0,Gujarat Lions
2,ipl-2016-968923,gujarat-lions-vs-delhi-daredevils-31st-match-980961,Dhawal Kulkarni,2,0,24,0,12.00,4,5,0,0,0,Gujarat Lions
2,ipl-2016-968923,gujarat-lions-vs-delhi-daredevils-31st-match-980961,Suresh Raina,4,0,34,0,8.50,7,3,1,0,0,Gujarat Lions
2,ipl-2016-968923,gujarat-lions-vs-delhi-daredevils-31st-match-980961,Shivil Kaushik,4,0,29,1,7.25,9,4,0,0,0,Gujarat Lions
2,ipl-2016-968923,gujarat-lions-vs-delhi-daredevils-31st-match-980961,Dwayne Smith,2,0,12,0,6.00,4,1,0,0,0,Gujarat Lions
2,ipl-2016-968923,gujarat-lions-vs-delhi-daredevils-31st-match-980961,James Faulkner,1,0,9,0,9.00,2,0,1,0,0,Gujarat Lions
2,ipl-2016-968923,gujarat-lions-vs-delhi-daredevils-31st-match-980961,Ravindra Jadeja,2.2,0,21,1,9.00,3,1,1,0,1,Gujarat Lions
