innings,series,game,Player,Out Type,Runs,B,M,4s,6s,SR,team
1,ipl-2016-968923,gujarat-lions-vs-kings-xi-punjab-28th-match-980955,Murali Vijay (c),c Bravo b Kaushik,55,41,62,6,0,134.14,Kings XI Punjab
1,ipl-2016-968923,gujarat-lions-vs-kings-xi-punjab-28th-match-980955,Marcus Stoinis,st Karthik b Jadeja,27,17,29,3,1,158.82,Kings XI Punjab
1,ipl-2016-968923,gujarat-lions-vs-kings-xi-punjab-28th-match-980955,Shaun Marsh,c Raina b Kaushik,1,3,5,0,0,33.33,Kings XI Punjab
1,ipl-2016-968923,gujarat-lions-vs-kings-xi-punjab-28th-match-980955,Glenn Maxwell,c Karthik b Kaushik,0,1,1,0,0,0.00,Kings XI Punjab
1,ipl-2016-968923,gujarat-lions-vs-kings-xi-punjab-28th-match-980955,Gurkeerat Singh Mann,run out (Faulkner/Karthik),0,3,2,0,0,0.00,Kings XI Punjab
1,ipl-2016-968923,gujarat-lions-vs-kings-xi-punjab-28th-match-980955,David Miller,c Smith b Kulkarni,31,27,44,2,0,114.81,Kings XI Punjab
1,ipl-2016-968923,gujarat-lions-vs-kings-xi-punjab-28th-match-980955,Wriddhiman Saha, b Bravo,33,19,31,4,0,173.68,Kings XI Punjab
1,ipl-2016-968923,gujarat-lions-vs-kings-xi-punjab-28th-match-980955,Axar Patel,c Ishan Kishan b Bravo,0,2,5,0,0,0.00,Kings XI Punjab
1,ipl-2016-968923,gujarat-lions-vs-kings-xi-punjab-28th-match-980955,Mohit Sharma, b Kumar,1,2,5,0,0,50.00,Kings XI Punjab
1,ipl-2016-968923,gujarat-lions-vs-kings-xi-punjab-28th-match-980955,KC Cariappa, b Kumar,1,3,6,0,0,33.33,Kings XI Punjab
1,ipl-2016-968923,gujarat-lions-vs-kings-xi-punjab-28th-match-980955,Sandeep Sharma,not out ,1,1,3,0,0,100.00,Kings XI Punjab
2,ipl-2016-968923,gujarat-lions-vs-kings-xi-punjab-28th-match-980955,Dwayne Smith,c Gurkeerat Singh b Patel,15,18,33,1,1,83.33,Gujarat Lions
2,ipl-2016-968923,gujarat-lions-vs-kings-xi-punjab-28th-match-980955,Brendon McCullum, b Sharma,1,3,7,0,0,33.33,Gujarat Lions
2,ipl-2016-968923,gujarat-lions-vs-kings-xi-punjab-28th-match-980955,Suresh Raina (c), b Sharma,18,15,16,2,1,120.00,Gujarat Lions
2,ipl-2016-968923,gujarat-lions-vs-kings-xi-punjab-28th-match-980955,Dinesh Karthik, b Patel,2,4,10,0,0,50.00,Gujarat Lions
2,ipl-2016-968923,gujarat-lions-vs-kings-xi-punjab-28th-match-980955,Ravindra Jadeja,c Saha b Patel,11,11,18,0,0,100.00,Gujarat Lions
2,ipl-2016-968923,gujarat-lions-vs-kings-xi-punjab-28th-match-980955,Dwayne Bravo, b Patel,0,1,1,0,0,0.00,Gujarat Lions
2,ipl-2016-968923,gujarat-lions-vs-kings-xi-punjab-28th-match-980955,Ishan Kishan,run out (Maxwell/Stoinis),27,24,41,3,0,112.50,Gujarat Lions
2,ipl-2016-968923,gujarat-lions-vs-kings-xi-punjab-28th-match-980955,James Faulkner,c Miller b Sandeep Sharma,32,27,54,3,0,118.51,Gujarat Lions
2,ipl-2016-968923,gujarat-lions-vs-kings-xi-punjab-28th-match-980955,Praveen Kumar,c Cariappa b Sharma,15,13,24,2,0,115.38,Gujarat Lions
2,ipl-2016-968923,gujarat-lions-vs-kings-xi-punjab-28th-match-980955,Dhawal Kulkarni,not out ,6,4,7,0,0,150.00,Gujarat Lions
2,ipl-2016-968923,gujarat-lions-vs-kings-xi-punjab-28th-match-980955,Shivil Kaushik,not out ,0,0,3,0,0,-,Gujarat Lions
