innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,ipl-2016-968923,gujarat-lions-vs-kolkata-knight-riders-51st-match-981001,Praveen Kumar,2,0,12,0,6.00,5,1,0,2,0,Gujarat Lions
1,ipl-2016-968923,gujarat-lions-vs-kolkata-knight-riders-51st-match-981001,Dhawal Kulkarni,4,0,34,1,8.50,12,5,1,1,0,Gujarat Lions
1,ipl-2016-968923,gujarat-lions-vs-kolkata-knight-riders-51st-match-981001,Dwayne Smith,4,0,8,4,2.00,18,0,0,1,0,Gujarat Lions
1,ipl-2016-968923,gujarat-lions-vs-kolkata-knight-riders-51st-match-981001,Dwayne Bravo,4,0,29,1,7.25,10,3,1,1,0,Gujarat Lions
1,ipl-2016-968923,gujarat-lions-vs-kolkata-knight-riders-51st-match-981001,Shadab Jakati,4,0,22,1,5.50,7,0,1,0,0,Gujarat Lions
1,ipl-2016-968923,gujarat-lions-vs-kolkata-knight-riders-51st-match-981001,Ravindra Jadeja,2,0,17,0,8.50,3,1,1,0,0,Gujarat Lions
2,ipl-2016-968923,gujarat-lions-vs-kolkata-knight-riders-51st-match-981001,Ankit Rajpoot,3,0,35,1,11.66,7,3,1,4,0,Kolkata Knight Riders
2,ipl-2016-968923,gujarat-lions-vs-kolkata-knight-riders-51st-match-981001,Sunil Narine,4,0,30,1,7.50,10,1,1,2,0,Kolkata Knight Riders
2,ipl-2016-968923,gujarat-lions-vs-kolkata-knight-riders-51st-match-981001,Morne Morkel,3.3,0,39,1,11.14,6,4,2,1,0,Kolkata Knight Riders
2,ipl-2016-968923,gujarat-lions-vs-kolkata-knight-riders-51st-match-981001,Jason Holder,2,0,14,0,7.00,5,2,0,1,0,Kolkata Knight Riders
2,ipl-2016-968923,gujarat-lions-vs-kolkata-knight-riders-51st-match-981001,Yusuf Pathan,1,0,6,0,6.00,3,1,0,0,0,Kolkata Knight Riders
