innings,series,game,Player,Out Type,Runs,B,M,4s,6s,SR,team
1,ipl-2016-968923,gujarat-lions-vs-sunrisers-hyderabad-qualifier-2-981017,Eklavya Dwivedi,c Boult b Kumar,5,5,4,1,0,100.00,Gujarat Lions
1,ipl-2016-968923,gujarat-lions-vs-sunrisers-hyderabad-qualifier-2-981017,Brendon McCullum,c Kumar b Bipul Sharma,32,29,57,5,0,110.34,Gujarat Lions
1,ipl-2016-968923,gujarat-lions-vs-sunrisers-hyderabad-qualifier-2-981017,Suresh Raina (c),lbw b Boult,1,5,11,0,0,20.00,Gujarat Lions
1,ipl-2016-968923,gujarat-lions-vs-sunrisers-hyderabad-qualifier-2-981017,Dinesh Karthik,run out (Boult),26,19,27,4,1,136.84,Gujarat Lions
1,ipl-2016-968923,gujarat-lions-vs-sunrisers-hyderabad-qualifier-2-981017,Aaron Finch, b Cutting,50,32,42,7,2,156.25,Gujarat Lions
1,ipl-2016-968923,gujarat-lions-vs-sunrisers-hyderabad-qualifier-2-981017,Dwayne Smith,c Dhawan b Cutting,1,3,3,0,0,33.33,Gujarat Lions
1,ipl-2016-968923,gujarat-lions-vs-sunrisers-hyderabad-qualifier-2-981017,Ravindra Jadeja,not out ,19,15,40,1,0,126.66,Gujarat Lions
1,ipl-2016-968923,gujarat-lions-vs-sunrisers-hyderabad-qualifier-2-981017,Dwayne Bravo, b Kumar,20,10,10,4,0,200.00,Gujarat Lions
1,ipl-2016-968923,gujarat-lions-vs-sunrisers-hyderabad-qualifier-2-981017,Dhawal Kulkarni,not out ,3,2,3,0,0,150.00,Gujarat Lions
2,ipl-2016-968923,gujarat-lions-vs-sunrisers-hyderabad-qualifier-2-981017,David Warner (c),not out ,93,58,96,11,3,160.34,Sunrisers Hyderabad
2,ipl-2016-968923,gujarat-lions-vs-sunrisers-hyderabad-qualifier-2-981017,Shikhar Dhawan,run out (McCullum),0,4,6,0,0,0.00,Sunrisers Hyderabad
2,ipl-2016-968923,gujarat-lions-vs-sunrisers-hyderabad-qualifier-2-981017,Moises Henriques,c Dwivedi b Smith,11,6,13,2,0,183.33,Sunrisers Hyderabad
2,ipl-2016-968923,gujarat-lions-vs-sunrisers-hyderabad-qualifier-2-981017,Yuvraj Singh,c Smith b Kaushik,8,13,14,1,0,61.53,Sunrisers Hyderabad
2,ipl-2016-968923,gujarat-lions-vs-sunrisers-hyderabad-qualifier-2-981017,Deepak Hooda,lbw b Bravo,4,9,14,0,0,44.44,Sunrisers Hyderabad
2,ipl-2016-968923,gujarat-lions-vs-sunrisers-hyderabad-qualifier-2-981017,Ben Cutting,c Karthik b Kaushik,8,7,7,1,0,114.28,Sunrisers Hyderabad
2,ipl-2016-968923,gujarat-lions-vs-sunrisers-hyderabad-qualifier-2-981017,Naman Ojha,c Jadeja b Bravo,10,8,14,0,1,125.00,Sunrisers Hyderabad
2,ipl-2016-968923,gujarat-lions-vs-sunrisers-hyderabad-qualifier-2-981017,Bipul Sharma,not out ,27,11,22,0,3,245.45,Sunrisers Hyderabad
