innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,ipl-2016-968923,gujarat-lions-vs-sunrisers-hyderabad-qualifier-2-981017,Bhuvneshwar Kumar,4,0,27,2,6.75,9,2,0,2,0,Sunrisers Hyderabad
1,ipl-2016-968923,gujarat-lions-vs-sunrisers-hyderabad-qualifier-2-981017,Trent Boult,4,0,39,1,9.75,11,8,0,2,0,Sunrisers Hyderabad
1,ipl-2016-968923,gujarat-lions-vs-sunrisers-hyderabad-qualifier-2-981017,Barinder Sran,3,0,28,0,9.33,8,4,1,1,0,Sunrisers Hyderabad
1,ipl-2016-968923,gujarat-lions-vs-sunrisers-hyderabad-qualifier-2-981017,Bipul Sharma,3,0,21,1,7.00,8,2,1,0,0,Sunrisers Hyderabad
1,ipl-2016-968923,gujarat-lions-vs-sunrisers-hyderabad-qualifier-2-981017,Ben Cutting,3,0,20,2,6.66,7,3,0,0,0,Sunrisers Hyderabad
1,ipl-2016-968923,gujarat-lions-vs-sunrisers-hyderabad-qualifier-2-981017,Moises Henriques,3,0,27,0,9.00,6,3,1,0,0,Sunrisers Hyderabad
2,ipl-2016-968923,gujarat-lions-vs-sunrisers-hyderabad-qualifier-2-981017,Praveen Kumar,3.2,0,32,0,9.60,8,4,1,1,0,Gujarat Lions
2,ipl-2016-968923,gujarat-lions-vs-sunrisers-hyderabad-qualifier-2-981017,Dhawal Kulkarni,4,0,32,0,8.00,8,3,1,0,0,Gujarat Lions
2,ipl-2016-968923,gujarat-lions-vs-sunrisers-hyderabad-qualifier-2-981017,Dwayne Smith,2,0,29,1,14.50,2,3,2,0,0,Gujarat Lions
2,ipl-2016-968923,gujarat-lions-vs-sunrisers-hyderabad-qualifier-2-981017,Suresh Raina,2,0,15,0,7.50,5,1,1,0,0,Gujarat Lions
2,ipl-2016-968923,gujarat-lions-vs-sunrisers-hyderabad-qualifier-2-981017,Shivil Kaushik,4,0,22,2,5.50,11,1,1,0,0,Gujarat Lions
2,ipl-2016-968923,gujarat-lions-vs-sunrisers-hyderabad-qualifier-2-981017,Dwayne Bravo,4,0,32,2,8.00,9,3,1,0,0,Gujarat Lions
