innings,series,game,Player,Out Type,Runs,B,M,4s,6s,SR,team
1,ipl-2016-968923,kings-xi-punjab-vs-delhi-daredevils-36th-match-980971,Murali Vijay (c),c Brathwaite b Morris,25,16,24,4,0,156.25,Kings XI Punjab
1,ipl-2016-968923,kings-xi-punjab-vs-delhi-daredevils-36th-match-980971,Marcus Stoinis,c Samson b Khan,52,44,64,3,2,118.18,Kings XI Punjab
1,ipl-2016-968923,kings-xi-punjab-vs-delhi-daredevils-36th-match-980971,Hashim Amla,run out (Khan/de Kock),1,5,10,0,0,20.00,Kings XI Punjab
1,ipl-2016-968923,kings-xi-punjab-vs-delhi-daredevils-36th-match-980971,Wriddhiman Saha,c Morris b Mohammed Shami,52,33,53,7,0,157.57,Kings XI Punjab
1,ipl-2016-968923,kings-xi-punjab-vs-delhi-daredevils-36th-match-980971,Glenn Maxwell, b Morris,16,11,22,0,1,145.45,Kings XI Punjab
1,ipl-2016-968923,kings-xi-punjab-vs-delhi-daredevils-36th-match-980971,David Miller,not out ,11,6,12,1,0,183.33,Kings XI Punjab
1,ipl-2016-968923,kings-xi-punjab-vs-delhi-daredevils-36th-match-980971,Axar Patel,not out ,16,5,10,0,2,320.00,Kings XI Punjab
2,ipl-2016-968923,kings-xi-punjab-vs-delhi-daredevils-36th-match-980971,Quinton de Kock,c Patel b Stoinis,52,30,37,6,2,173.33,Delhi Daredevils
2,ipl-2016-968923,kings-xi-punjab-vs-delhi-daredevils-36th-match-980971,Sanju Samson,c Maxwell b Stoinis,49,35,64,4,1,140.00,Delhi Daredevils
2,ipl-2016-968923,kings-xi-punjab-vs-delhi-daredevils-36th-match-980971,Karun Nair,c Miller b Cariappa,23,25,40,1,0,92.00,Delhi Daredevils
2,ipl-2016-968923,kings-xi-punjab-vs-delhi-daredevils-36th-match-980971,Sam Billings,c Saha b Stoinis,6,9,22,0,0,66.66,Delhi Daredevils
2,ipl-2016-968923,kings-xi-punjab-vs-delhi-daredevils-36th-match-980971,Carlos Brathwaite,c Gurkeerat Singh b Sandeep Sharma,12,6,14,1,1,200.00,Delhi Daredevils
2,ipl-2016-968923,kings-xi-punjab-vs-delhi-daredevils-36th-match-980971,Chris Morris,not out ,17,12,17,0,1,141.66,Delhi Daredevils
2,ipl-2016-968923,kings-xi-punjab-vs-delhi-daredevils-36th-match-980971,Rishabh Pant,not out ,4,3,11,1,0,133.33,Delhi Daredevils
