innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,ipl-2016-968923,kings-xi-punjab-vs-gujarat-lions-3rd-match-980905,Praveen Kumar,4,0,25,0,6.25,7,2,0,0,0,Gujarat Lions
1,ipl-2016-968923,kings-xi-punjab-vs-gujarat-lions-3rd-match-980905,Pradeep Sangwan,2,0,21,0,10.50,6,3,1,0,0,Gujarat Lions
1,ipl-2016-968923,kings-xi-punjab-vs-gujarat-lions-3rd-match-980905,James Faulkner,4,0,39,0,9.75,7,5,0,2,0,Gujarat Lions
1,ipl-2016-968923,kings-xi-punjab-vs-gujarat-lions-3rd-match-980905,Sarabjit Ladda,2,0,21,0,10.50,3,2,1,0,0,Gujarat Lions
1,ipl-2016-968923,kings-xi-punjab-vs-gujarat-lions-3rd-match-980905,Ravindra Jadeja,4,0,30,2,7.50,10,1,2,1,0,Gujarat Lions
1,ipl-2016-968923,kings-xi-punjab-vs-gujarat-lions-3rd-match-980905,Dwayne Bravo,4,0,22,4,5.50,9,1,0,1,0,Gujarat Lions
2,ipl-2016-968923,kings-xi-punjab-vs-gujarat-lions-3rd-match-980905,Sandeep Sharma,3,0,21,1,7.00,8,1,1,0,0,Kings XI Punjab
2,ipl-2016-968923,kings-xi-punjab-vs-gujarat-lions-3rd-match-980905,Mitchell Johnson,4,0,35,1,8.75,10,6,0,2,0,Kings XI Punjab
2,ipl-2016-968923,kings-xi-punjab-vs-gujarat-lions-3rd-match-980905,Mohit Sharma,2.4,0,24,0,9.00,5,4,0,0,0,Kings XI Punjab
2,ipl-2016-968923,kings-xi-punjab-vs-gujarat-lions-3rd-match-980905,Marcus Stoinis,2,0,27,1,13.50,2,4,1,0,0,Kings XI Punjab
2,ipl-2016-968923,kings-xi-punjab-vs-gujarat-lions-3rd-match-980905,Axar Patel,2,0,17,0,8.50,2,2,0,1,0,Kings XI Punjab
2,ipl-2016-968923,kings-xi-punjab-vs-gujarat-lions-3rd-match-980905,Pardeep Sahu,4,0,35,1,8.75,6,5,0,0,0,Kings XI Punjab
