innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,ipl-2016-968923,kings-xi-punjab-vs-mumbai-indians-21st-match-980941,Sandeep Sharma,4,0,20,1,5.00,13,2,0,1,0,Kings XI Punjab
1,ipl-2016-968923,kings-xi-punjab-vs-mumbai-indians-21st-match-980941,Mitchell Johnson,4,0,43,1,10.75,8,8,0,0,1,Kings XI Punjab
1,ipl-2016-968923,kings-xi-punjab-vs-mumbai-indians-21st-match-980941,Axar Patel,4,0,41,1,10.25,4,2,3,0,0,Kings XI Punjab
1,ipl-2016-968923,kings-xi-punjab-vs-mumbai-indians-21st-match-980941,Mohit Sharma,4,0,38,3,9.50,7,5,0,2,0,Kings XI Punjab
1,ipl-2016-968923,kings-xi-punjab-vs-mumbai-indians-21st-match-980941,Glenn Maxwell,1,0,11,0,11.00,1,0,1,0,0,Kings XI Punjab
1,ipl-2016-968923,kings-xi-punjab-vs-mumbai-indians-21st-match-980941,Pardeep Sahu,3,0,35,0,11.66,1,1,3,0,0,Kings XI Punjab
2,ipl-2016-968923,kings-xi-punjab-vs-mumbai-indians-21st-match-980941,Tim Southee,4,0,28,2,7.00,11,1,2,0,0,Mumbai Indians
2,ipl-2016-968923,kings-xi-punjab-vs-mumbai-indians-21st-match-980941,Mitchell McClenaghan,4,0,32,2,8.00,7,3,0,2,1,Mumbai Indians
2,ipl-2016-968923,kings-xi-punjab-vs-mumbai-indians-21st-match-980941,Jasprit Bumrah,4,0,26,3,6.50,7,0,1,0,0,Mumbai Indians
2,ipl-2016-968923,kings-xi-punjab-vs-mumbai-indians-21st-match-980941,Krunal Pandya,2,0,20,0,10.00,2,2,0,0,0,Mumbai Indians
2,ipl-2016-968923,kings-xi-punjab-vs-mumbai-indians-21st-match-980941,Harbhajan Singh,4,0,31,0,7.75,8,3,1,0,0,Mumbai Indians
2,ipl-2016-968923,kings-xi-punjab-vs-mumbai-indians-21st-match-980941,Kieron Pollard,2,0,25,0,12.50,0,2,1,0,0,Mumbai Indians
