innings,series,game,Player,Out Type,Runs,B,M,4s,6s,SR,team
1,ipl-2016-968923,kings-xi-punjab-vs-rising-pune-supergiants-10th-match-980919,Ajinkya Rahane, b Sandeep Sharma,9,11,9,2,0,81.81,Rising Pune Supergiants
1,ipl-2016-968923,kings-xi-punjab-vs-rising-pune-supergiants-10th-match-980919,Faf du Plessis,c & b Sharma,67,53,95,8,0,126.41,Rising Pune Supergiants
1,ipl-2016-968923,kings-xi-punjab-vs-rising-pune-supergiants-10th-match-980919,Kevin Pietersen,c Vohra b Abbott,15,15,27,2,0,100.00,Rising Pune Supergiants
1,ipl-2016-968923,kings-xi-punjab-vs-rising-pune-supergiants-10th-match-980919,Thisara Perera,c Sharma b Sandeep Sharma,8,9,12,1,0,88.88,Rising Pune Supergiants
1,ipl-2016-968923,kings-xi-punjab-vs-rising-pune-supergiants-10th-match-980919,Steven Smith,c Miller b Sharma,38,26,34,5,0,146.15,Rising Pune Supergiants
1,ipl-2016-968923,kings-xi-punjab-vs-rising-pune-supergiants-10th-match-980919,MS Dhoni (c)†,c Maxwell b Sharma,1,2,11,0,0,50.00,Rising Pune Supergiants
1,ipl-2016-968923,kings-xi-punjab-vs-rising-pune-supergiants-10th-match-980919,Irfan Pathan,run out (Maxwell/Saha),2,2,5,0,0,100.00,Rising Pune Supergiants
1,ipl-2016-968923,kings-xi-punjab-vs-rising-pune-supergiants-10th-match-980919,Ravichandran Ashwin,not out ,1,2,3,0,0,50.00,Rising Pune Supergiants
2,ipl-2016-968923,kings-xi-punjab-vs-rising-pune-supergiants-10th-match-980919,Murali Vijay,c Dhoni b M Ashwin,53,49,63,5,2,108.16,Kings XI Punjab
2,ipl-2016-968923,kings-xi-punjab-vs-rising-pune-supergiants-10th-match-980919,Manan Vohra,lbw b Ankit Sharma,51,33,50,7,0,154.54,Kings XI Punjab
2,ipl-2016-968923,kings-xi-punjab-vs-rising-pune-supergiants-10th-match-980919,Shaun Marsh, b M Ashwin,4,6,7,0,0,66.66,Kings XI Punjab
2,ipl-2016-968923,kings-xi-punjab-vs-rising-pune-supergiants-10th-match-980919,David Miller (c),c Pietersen b M Ashwin,7,6,13,0,0,116.66,Kings XI Punjab
2,ipl-2016-968923,kings-xi-punjab-vs-rising-pune-supergiants-10th-match-980919,Glenn Maxwell,not out ,32,14,20,3,2,228.57,Kings XI Punjab
2,ipl-2016-968923,kings-xi-punjab-vs-rising-pune-supergiants-10th-match-980919,Wriddhiman Saha,not out ,4,4,11,0,0,100.00,Kings XI Punjab
