innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,ipl-2016-968923,kings-xi-punjab-vs-rising-pune-supergiants-10th-match-980919,Sandeep Sharma,4,0,23,2,5.75,12,3,0,1,0,Kings XI Punjab
1,ipl-2016-968923,kings-xi-punjab-vs-rising-pune-supergiants-10th-match-980919,Kyle Abbott,4,0,38,1,9.50,8,6,0,1,0,Kings XI Punjab
1,ipl-2016-968923,kings-xi-punjab-vs-rising-pune-supergiants-10th-match-980919,Axar Patel,3,0,26,0,8.66,6,4,0,0,0,Kings XI Punjab
1,ipl-2016-968923,kings-xi-punjab-vs-rising-pune-supergiants-10th-match-980919,Pardeep Sahu,4,0,31,0,7.75,6,3,0,1,0,Kings XI Punjab
1,ipl-2016-968923,kings-xi-punjab-vs-rising-pune-supergiants-10th-match-980919,Mohit Sharma,4,0,23,3,5.75,8,2,0,0,0,Kings XI Punjab
1,ipl-2016-968923,kings-xi-punjab-vs-rising-pune-supergiants-10th-match-980919,Glenn Maxwell,1,0,3,0,3.00,3,0,0,0,0,Kings XI Punjab
2,ipl-2016-968923,kings-xi-punjab-vs-rising-pune-supergiants-10th-match-980919,Ishant Sharma,3,0,26,0,8.66,10,4,1,0,0,Rising Pune Supergiants
2,ipl-2016-968923,kings-xi-punjab-vs-rising-pune-supergiants-10th-match-980919,Ankit Sharma,4,0,27,1,6.75,8,2,0,2,0,Rising Pune Supergiants
2,ipl-2016-968923,kings-xi-punjab-vs-rising-pune-supergiants-10th-match-980919,Ravichandran Ashwin,4,0,27,0,6.75,8,2,1,0,0,Rising Pune Supergiants
2,ipl-2016-968923,kings-xi-punjab-vs-rising-pune-supergiants-10th-match-980919,Murugan Ashwin,4,0,36,3,9.00,5,2,2,0,0,Rising Pune Supergiants
2,ipl-2016-968923,kings-xi-punjab-vs-rising-pune-supergiants-10th-match-980919,Irfan Pathan,1,0,7,0,7.00,3,1,0,0,0,Rising Pune Supergiants
2,ipl-2016-968923,kings-xi-punjab-vs-rising-pune-supergiants-10th-match-980919,Thisara Perera,2.4,0,30,0,11.25,2,4,0,0,0,Rising Pune Supergiants
