innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,ipl-2016-968923,kolkata-knight-riders-vs-rising-pune-supergiants-45th-match-980989,Andre Russell,2,0,11,1,5.50,7,1,0,0,0,Kolkata Knight Riders
1,ipl-2016-968923,kolkata-knight-riders-vs-rising-pune-supergiants-45th-match-980989,Morne Morkel,3,0,22,0,7.33,9,4,0,0,1,Kolkata Knight Riders
1,ipl-2016-968923,kolkata-knight-riders-vs-rising-pune-supergiants-45th-match-980989,Shakib Al Hasan,3,0,21,1,7.00,5,1,1,0,0,Kolkata Knight Riders
1,ipl-2016-968923,kolkata-knight-riders-vs-rising-pune-supergiants-45th-match-980989,Ankit Rajpoot,2,0,14,1,7.00,3,1,0,1,0,Kolkata Knight Riders
1,ipl-2016-968923,kolkata-knight-riders-vs-rising-pune-supergiants-45th-match-980989,Piyush Chawla,4,0,21,2,5.25,13,0,1,0,0,Kolkata Knight Riders
1,ipl-2016-968923,kolkata-knight-riders-vs-rising-pune-supergiants-45th-match-980989,Sunil Narine,3.4,0,10,0,2.72,14,0,0,0,0,Kolkata Knight Riders
2,ipl-2016-968923,kolkata-knight-riders-vs-rising-pune-supergiants-45th-match-980989,Ravichandran Ashwin,2,0,30,2,15.00,4,3,2,1,0,Rising Pune Supergiants
2,ipl-2016-968923,kolkata-knight-riders-vs-rising-pune-supergiants-45th-match-980989,Ashok Dinda,1,0,13,0,13.00,1,2,0,0,0,Rising Pune Supergiants
2,ipl-2016-968923,kolkata-knight-riders-vs-rising-pune-supergiants-45th-match-980989,Murugan Ashwin,1,0,13,0,13.00,3,1,1,2,0,Rising Pune Supergiants
2,ipl-2016-968923,kolkata-knight-riders-vs-rising-pune-supergiants-45th-match-980989,Adam Zampa,1,0,8,0,8.00,3,0,0,1,0,Rising Pune Supergiants
