innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,ipl-2016-968923,kolkata-knight-riders-vs-royal-challengers-bangalore-48th-match-980995,Stuart Binny,1,0,8,0,8.00,2,1,0,0,0,Royal Challengers Bangalore
1,ipl-2016-968923,kolkata-knight-riders-vs-royal-challengers-bangalore-48th-match-980995,Sreenath Aravind,4,0,41,2,10.25,6,6,1,0,0,Royal Challengers Bangalore
1,ipl-2016-968923,kolkata-knight-riders-vs-royal-challengers-bangalore-48th-match-980995,Iqbal Abdulla,4,0,22,1,5.50,10,2,0,1,0,Royal Challengers Bangalore
1,ipl-2016-968923,kolkata-knight-riders-vs-royal-challengers-bangalore-48th-match-980995,Shane Watson,4,0,46,0,11.50,5,3,3,1,0,Royal Challengers Bangalore
1,ipl-2016-968923,kolkata-knight-riders-vs-royal-challengers-bangalore-48th-match-980995,Yuzvendra Chahal,4,0,38,1,9.50,8,4,1,2,0,Royal Challengers Bangalore
1,ipl-2016-968923,kolkata-knight-riders-vs-royal-challengers-bangalore-48th-match-980995,Chris Jordan,3,0,22,0,7.33,4,0,1,1,0,Royal Challengers Bangalore
2,ipl-2016-968923,kolkata-knight-riders-vs-royal-challengers-bangalore-48th-match-980995,Andre Russell,2.3,0,32,0,12.80,5,2,3,0,0,Kolkata Knight Riders
2,ipl-2016-968923,kolkata-knight-riders-vs-royal-challengers-bangalore-48th-match-980995,Morne Morkel,2,0,20,0,10.00,6,3,1,0,0,Kolkata Knight Riders
2,ipl-2016-968923,kolkata-knight-riders-vs-royal-challengers-bangalore-48th-match-980995,Sunil Narine,4,0,34,1,8.50,11,3,2,0,0,Kolkata Knight Riders
2,ipl-2016-968923,kolkata-knight-riders-vs-royal-challengers-bangalore-48th-match-980995,Piyush Chawla,3.1,0,32,0,10.10,4,1,2,0,0,Kolkata Knight Riders
2,ipl-2016-968923,kolkata-knight-riders-vs-royal-challengers-bangalore-48th-match-980995,Ankit Rajpoot,3,0,28,0,9.33,6,4,0,0,1,Kolkata Knight Riders
2,ipl-2016-968923,kolkata-knight-riders-vs-royal-challengers-bangalore-48th-match-980995,Shakib Al Hasan,4,0,39,0,9.75,4,2,2,1,0,Kolkata Knight Riders
