innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,ipl-2016-968923,mumbai-indians-vs-rising-pune-supergiants-1st-match-980901,RP Singh,3,0,30,1,10.00,7,4,1,1,0,Rising Pune Supergiants
1,ipl-2016-968923,mumbai-indians-vs-rising-pune-supergiants-1st-match-980901,Ishant Sharma,4,0,36,2,9.00,15,4,1,4,0,Rising Pune Supergiants
1,ipl-2016-968923,mumbai-indians-vs-rising-pune-supergiants-1st-match-980901,Mitchell Marsh,4,0,21,2,5.25,13,1,1,1,0,Rising Pune Supergiants
1,ipl-2016-968923,mumbai-indians-vs-rising-pune-supergiants-1st-match-980901,Rajat Bhatia,4,1,10,1,2.50,17,1,0,0,0,Rising Pune Supergiants
1,ipl-2016-968923,mumbai-indians-vs-rising-pune-supergiants-1st-match-980901,Murugan Ashwin,4,0,16,1,4.00,13,1,0,0,0,Rising Pune Supergiants
1,ipl-2016-968923,mumbai-indians-vs-rising-pune-supergiants-1st-match-980901,Ravichandran Ashwin,1,0,7,1,7.00,2,1,0,0,0,Rising Pune Supergiants
2,ipl-2016-968923,mumbai-indians-vs-rising-pune-supergiants-1st-match-980901,Mitchell McClenaghan,3,0,27,0,9.00,10,3,2,0,0,Mumbai Indians
2,ipl-2016-968923,mumbai-indians-vs-rising-pune-supergiants-1st-match-980901,Jasprit Bumrah,3,0,30,0,10.00,10,3,2,0,1,Mumbai Indians
2,ipl-2016-968923,mumbai-indians-vs-rising-pune-supergiants-1st-match-980901,Vinay Kumar,2,0,14,0,7.00,6,1,0,3,0,Mumbai Indians
2,ipl-2016-968923,mumbai-indians-vs-rising-pune-supergiants-1st-match-980901,Shreyas Gopal,3,0,18,0,6.00,5,1,0,0,0,Mumbai Indians
2,ipl-2016-968923,mumbai-indians-vs-rising-pune-supergiants-1st-match-980901,Harbhajan Singh,3,0,24,1,8.00,6,0,2,0,0,Mumbai Indians
2,ipl-2016-968923,mumbai-indians-vs-rising-pune-supergiants-1st-match-980901,Hardik Pandya,0.4,0,12,0,18.00,2,0,2,0,0,Mumbai Indians
