innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,ipl-2016-968923,mumbai-indians-vs-royal-challengers-bangalore-14th-match-980927,Tim Southee,4,0,25,0,6.25,11,3,0,0,0,Mumbai Indians
1,ipl-2016-968923,mumbai-indians-vs-royal-challengers-bangalore-14th-match-980927,Mitchell McClenaghan,4,0,46,1,11.50,10,3,4,0,0,Mumbai Indians
1,ipl-2016-968923,mumbai-indians-vs-royal-challengers-bangalore-14th-match-980927,Jasprit Bumrah,4,0,31,3,7.75,8,3,1,0,0,Mumbai Indians
1,ipl-2016-968923,mumbai-indians-vs-royal-challengers-bangalore-14th-match-980927,Harbhajan Singh,2,0,20,0,10.00,3,3,0,2,0,Mumbai Indians
1,ipl-2016-968923,mumbai-indians-vs-royal-challengers-bangalore-14th-match-980927,Krunal Pandya,4,0,27,2,6.75,8,0,0,4,0,Mumbai Indians
1,ipl-2016-968923,mumbai-indians-vs-royal-challengers-bangalore-14th-match-980927,Hardik Pandya,2,0,18,0,9.00,4,0,2,0,0,Mumbai Indians
2,ipl-2016-968923,mumbai-indians-vs-royal-challengers-bangalore-14th-match-980927,Varun Aaron,4,0,37,0,9.25,9,3,1,0,1,Royal Challengers Bangalore
2,ipl-2016-968923,mumbai-indians-vs-royal-challengers-bangalore-14th-match-980927,Kane Richardson,3,0,25,1,8.33,9,2,2,0,0,Royal Challengers Bangalore
2,ipl-2016-968923,mumbai-indians-vs-royal-challengers-bangalore-14th-match-980927,Shane Watson,4,0,40,0,10.00,8,6,1,1,0,Royal Challengers Bangalore
2,ipl-2016-968923,mumbai-indians-vs-royal-challengers-bangalore-14th-match-980927,Harshal Patel,2,0,20,0,10.00,4,2,1,0,0,Royal Challengers Bangalore
2,ipl-2016-968923,mumbai-indians-vs-royal-challengers-bangalore-14th-match-980927,Iqbal Abdulla,4,0,40,3,10.00,6,2,3,1,0,Royal Challengers Bangalore
2,ipl-2016-968923,mumbai-indians-vs-royal-challengers-bangalore-14th-match-980927,Stuart Binny,1,0,8,0,8.00,1,1,0,0,0,Royal Challengers Bangalore
