innings,series,game,Player,Out Type,Runs,B,M,4s,6s,SR,team
1,ipl-2016-968923,rising-pune-supergiants-vs-kings-xi-punjab-53rd-match-981005,Hashim Amla,c Bailey b Ashwin,30,27,33,4,1,111.11,Kings XI Punjab
1,ipl-2016-968923,rising-pune-supergiants-vs-kings-xi-punjab-53rd-match-981005,Murali Vijay (c), b Ashwin,59,41,66,4,3,143.90,Kings XI Punjab
1,ipl-2016-968923,rising-pune-supergiants-vs-kings-xi-punjab-53rd-match-981005,Wriddhiman Saha,c Ashwin b Zampa,3,4,4,0,0,75.00,Kings XI Punjab
1,ipl-2016-968923,rising-pune-supergiants-vs-kings-xi-punjab-53rd-match-981005,Gurkeerat Singh Mann,c Chahar b Ashwin,51,30,37,3,3,170.00,Kings XI Punjab
1,ipl-2016-968923,rising-pune-supergiants-vs-kings-xi-punjab-53rd-match-981005,David Miller,lbw b Ashwin,7,5,11,1,0,140.00,Kings XI Punjab
1,ipl-2016-968923,rising-pune-supergiants-vs-kings-xi-punjab-53rd-match-981005,Farhaan Behardien,c Rahane b Dinda,5,5,7,1,0,100.00,Kings XI Punjab
1,ipl-2016-968923,rising-pune-supergiants-vs-kings-xi-punjab-53rd-match-981005,Axar Patel,c Tiwary b Perera,1,3,8,0,0,33.33,Kings XI Punjab
1,ipl-2016-968923,rising-pune-supergiants-vs-kings-xi-punjab-53rd-match-981005,Rishi Dhawan,not out ,11,4,5,0,1,275.00,Kings XI Punjab
1,ipl-2016-968923,rising-pune-supergiants-vs-kings-xi-punjab-53rd-match-981005,Kyle Abbott,not out ,1,1,2,0,0,100.00,Kings XI Punjab
2,ipl-2016-968923,rising-pune-supergiants-vs-kings-xi-punjab-53rd-match-981005,Ajinkya Rahane,c Saha b Sandeep Sharma,19,15,22,4,0,126.66,Rising Pune Supergiants
2,ipl-2016-968923,rising-pune-supergiants-vs-kings-xi-punjab-53rd-match-981005,Usman Khawaja,c Miller b Gurkeerat Singh,30,29,57,1,1,103.44,Rising Pune Supergiants
2,ipl-2016-968923,rising-pune-supergiants-vs-kings-xi-punjab-53rd-match-981005,George Bailey,st Saha b Patel,9,11,11,2,0,81.81,Rising Pune Supergiants
2,ipl-2016-968923,rising-pune-supergiants-vs-kings-xi-punjab-53rd-match-981005,Saurabh Tiwary,c Behardien b Gurkeerat Singh,17,15,19,1,1,113.33,Rising Pune Supergiants
2,ipl-2016-968923,rising-pune-supergiants-vs-kings-xi-punjab-53rd-match-981005,MS Dhoni (c)†,not out ,64,32,49,4,5,200.00,Rising Pune Supergiants
2,ipl-2016-968923,rising-pune-supergiants-vs-kings-xi-punjab-53rd-match-981005,Irfan Pathan,c Saha b Dhawan,2,3,5,0,0,66.66,Rising Pune Supergiants
2,ipl-2016-968923,rising-pune-supergiants-vs-kings-xi-punjab-53rd-match-981005,Thisara Perera,c Saha b Sharma,23,14,27,2,1,164.28,Rising Pune Supergiants
2,ipl-2016-968923,rising-pune-supergiants-vs-kings-xi-punjab-53rd-match-981005,Ravichandran Ashwin,not out ,1,1,12,0,0,100.00,Rising Pune Supergiants
