innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,ipl-2016-968923,rising-pune-supergiants-vs-kings-xi-punjab-53rd-match-981005,Irfan Pathan,4,0,37,0,9.25,6,2,2,0,0,Rising Pune Supergiants
1,ipl-2016-968923,rising-pune-supergiants-vs-kings-xi-punjab-53rd-match-981005,Ashok Dinda,3,0,16,1,5.33,9,2,0,0,0,Rising Pune Supergiants
1,ipl-2016-968923,rising-pune-supergiants-vs-kings-xi-punjab-53rd-match-981005,Deepak Chahar,3,0,28,0,9.33,8,3,1,3,0,Rising Pune Supergiants
1,ipl-2016-968923,rising-pune-supergiants-vs-kings-xi-punjab-53rd-match-981005,Thisara Perera,2,0,24,1,12.00,3,1,2,0,0,Rising Pune Supergiants
1,ipl-2016-968923,rising-pune-supergiants-vs-kings-xi-punjab-53rd-match-981005,Ravichandran Ashwin,4,0,34,4,8.50,8,4,1,0,0,Rising Pune Supergiants
1,ipl-2016-968923,rising-pune-supergiants-vs-kings-xi-punjab-53rd-match-981005,Adam Zampa,4,0,32,1,8.00,5,1,2,0,0,Rising Pune Supergiants
2,ipl-2016-968923,rising-pune-supergiants-vs-kings-xi-punjab-53rd-match-981005,Sandeep Sharma,4,0,29,1,7.25,11,3,1,2,0,Kings XI Punjab
2,ipl-2016-968923,rising-pune-supergiants-vs-kings-xi-punjab-53rd-match-981005,Mohit Sharma,4,0,39,1,9.75,8,5,1,1,0,Kings XI Punjab
2,ipl-2016-968923,rising-pune-supergiants-vs-kings-xi-punjab-53rd-match-981005,Kyle Abbott,3,0,25,0,8.33,9,3,1,0,0,Kings XI Punjab
2,ipl-2016-968923,rising-pune-supergiants-vs-kings-xi-punjab-53rd-match-981005,Axar Patel,4,0,43,1,10.75,10,1,4,2,0,Kings XI Punjab
2,ipl-2016-968923,rising-pune-supergiants-vs-kings-xi-punjab-53rd-match-981005,Gurkeerat Singh Mann,2,0,15,2,7.50,4,0,1,1,0,Kings XI Punjab
2,ipl-2016-968923,rising-pune-supergiants-vs-kings-xi-punjab-53rd-match-981005,Rishi Dhawan,3,0,21,1,7.00,5,2,0,1,0,Kings XI Punjab
