innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,ipl-2016-968923,rising-pune-supergiants-vs-sunrisers-hyderabad-40th-match-980979,Ashok Dinda,4,0,26,0,6.50,12,2,1,1,0,Rising Pune Supergiants
1,ipl-2016-968923,rising-pune-supergiants-vs-sunrisers-hyderabad-40th-match-980979,RP Singh,3,0,23,1,7.66,10,1,2,1,0,Rising Pune Supergiants
1,ipl-2016-968923,rising-pune-supergiants-vs-sunrisers-hyderabad-40th-match-980979,Ravichandran Ashwin,4,0,16,1,4.00,14,1,0,1,0,Rising Pune Supergiants
1,ipl-2016-968923,rising-pune-supergiants-vs-sunrisers-hyderabad-40th-match-980979,Adam Zampa,4,0,19,6,4.75,11,0,1,0,0,Rising Pune Supergiants
1,ipl-2016-968923,rising-pune-supergiants-vs-sunrisers-hyderabad-40th-match-980979,Rajat Bhatia,3,0,26,0,8.66,6,1,2,0,0,Rising Pune Supergiants
1,ipl-2016-968923,rising-pune-supergiants-vs-sunrisers-hyderabad-40th-match-980979,Thisara Perera,2,0,26,0,13.00,1,3,1,0,0,Rising Pune Supergiants
2,ipl-2016-968923,rising-pune-supergiants-vs-sunrisers-hyderabad-40th-match-980979,Bhuvneshwar Kumar,4,1,20,1,5.00,13,1,1,1,0,Sunrisers Hyderabad
2,ipl-2016-968923,rising-pune-supergiants-vs-sunrisers-hyderabad-40th-match-980979,Ashish Nehra,4,0,29,3,7.25,12,4,1,0,0,Sunrisers Hyderabad
2,ipl-2016-968923,rising-pune-supergiants-vs-sunrisers-hyderabad-40th-match-980979,Barinder Sran,4,0,26,1,6.50,10,2,1,0,0,Sunrisers Hyderabad
2,ipl-2016-968923,rising-pune-supergiants-vs-sunrisers-hyderabad-40th-match-980979,Moises Henriques,3,0,20,1,6.66,4,2,0,0,0,Sunrisers Hyderabad
2,ipl-2016-968923,rising-pune-supergiants-vs-sunrisers-hyderabad-40th-match-980979,Yuvraj Singh,1,0,10,0,10.00,1,0,1,0,0,Sunrisers Hyderabad
2,ipl-2016-968923,rising-pune-supergiants-vs-sunrisers-hyderabad-40th-match-980979,Mustafizur Rahman,4,0,26,0,6.50,6,1,0,0,0,Sunrisers Hyderabad
