innings,series,game,Player,Out Type,Runs,B,M,4s,6s,SR,team
1,ipl-2016-968923,royal-challengers-bangalore-vs-rising-pune-supergiants-35th-match-980969,Ajinkya Rahane, b Watson,74,48,95,8,2,154.16,Rising Pune Supergiants
1,ipl-2016-968923,royal-challengers-bangalore-vs-rising-pune-supergiants-35th-match-980969,Usman Khawaja,run out (Watson/Binny),16,6,11,2,1,266.66,Rising Pune Supergiants
1,ipl-2016-968923,royal-challengers-bangalore-vs-rising-pune-supergiants-35th-match-980969,Saurabh Tiwary,st Rahul b Chahal,52,39,61,9,0,133.33,Rising Pune Supergiants
1,ipl-2016-968923,royal-challengers-bangalore-vs-rising-pune-supergiants-35th-match-980969,MS Dhoni (c)†,c Parvez Rasool b Watson,9,8,6,0,1,112.50,Rising Pune Supergiants
1,ipl-2016-968923,royal-challengers-bangalore-vs-rising-pune-supergiants-35th-match-980969,Thisara Perera,c Watson b Jordan,14,8,11,1,1,175.00,Rising Pune Supergiants
1,ipl-2016-968923,royal-challengers-bangalore-vs-rising-pune-supergiants-35th-match-980969,George Bailey,c Rahul b Watson,0,2,5,0,0,0.00,Rising Pune Supergiants
1,ipl-2016-968923,royal-challengers-bangalore-vs-rising-pune-supergiants-35th-match-980969,Rajat Bhatia,not out ,9,4,9,0,1,225.00,Rising Pune Supergiants
1,ipl-2016-968923,royal-challengers-bangalore-vs-rising-pune-supergiants-35th-match-980969,Ravichandran Ashwin,not out ,10,5,6,0,1,200.00,Rising Pune Supergiants
2,ipl-2016-968923,royal-challengers-bangalore-vs-rising-pune-supergiants-35th-match-980969,Virat Kohli (c),not out ,108,58,98,8,7,186.20,Royal Challengers Bangalore
2,ipl-2016-968923,royal-challengers-bangalore-vs-rising-pune-supergiants-35th-match-980969,KL Rahul,c Bailey b Zampa,38,35,52,1,2,108.57,Royal Challengers Bangalore
2,ipl-2016-968923,royal-challengers-bangalore-vs-rising-pune-supergiants-35th-match-980969,AB de Villiers,c Perera b Zampa,1,3,3,0,0,33.33,Royal Challengers Bangalore
2,ipl-2016-968923,royal-challengers-bangalore-vs-rising-pune-supergiants-35th-match-980969,Shane Watson,lbw b Singh,36,13,17,5,2,276.92,Royal Challengers Bangalore
2,ipl-2016-968923,royal-challengers-bangalore-vs-rising-pune-supergiants-35th-match-980969,Travis Head,not out ,6,9,23,0,0,66.66,Royal Challengers Bangalore
