innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,ipl-2016-968923,royal-challengers-bangalore-vs-rising-pune-supergiants-35th-match-980969,Stuart Binny,2,0,17,0,8.50,4,3,0,0,0,Royal Challengers Bangalore
1,ipl-2016-968923,royal-challengers-bangalore-vs-rising-pune-supergiants-35th-match-980969,Parvez Rasool,3,0,37,0,12.33,3,5,1,0,0,Royal Challengers Bangalore
1,ipl-2016-968923,royal-challengers-bangalore-vs-rising-pune-supergiants-35th-match-980969,Chris Jordan,4,0,43,1,10.75,7,2,3,1,0,Royal Challengers Bangalore
1,ipl-2016-968923,royal-challengers-bangalore-vs-rising-pune-supergiants-35th-match-980969,Shane Watson,4,0,24,3,6.00,13,2,1,2,0,Royal Challengers Bangalore
1,ipl-2016-968923,royal-challengers-bangalore-vs-rising-pune-supergiants-35th-match-980969,Varun Aaron,3,0,31,0,10.33,5,4,1,0,0,Royal Challengers Bangalore
1,ipl-2016-968923,royal-challengers-bangalore-vs-rising-pune-supergiants-35th-match-980969,Yuzvendra Chahal,4,0,38,1,9.50,8,4,1,3,0,Royal Challengers Bangalore
2,ipl-2016-968923,royal-challengers-bangalore-vs-rising-pune-supergiants-35th-match-980969,Ashok Dinda,3.3,0,26,0,7.42,6,2,0,0,0,Rising Pune Supergiants
2,ipl-2016-968923,royal-challengers-bangalore-vs-rising-pune-supergiants-35th-match-980969,RP Singh,4,0,37,1,9.25,10,0,4,0,1,Rising Pune Supergiants
2,ipl-2016-968923,royal-challengers-bangalore-vs-rising-pune-supergiants-35th-match-980969,Thisara Perera,3,0,40,0,13.33,3,5,2,0,0,Rising Pune Supergiants
2,ipl-2016-968923,royal-challengers-bangalore-vs-rising-pune-supergiants-35th-match-980969,Adam Zampa,4,0,35,2,8.75,8,3,2,0,0,Rising Pune Supergiants
2,ipl-2016-968923,royal-challengers-bangalore-vs-rising-pune-supergiants-35th-match-980969,Rajat Bhatia,4,0,45,0,11.25,4,3,3,0,0,Rising Pune Supergiants
2,ipl-2016-968923,royal-challengers-bangalore-vs-rising-pune-supergiants-35th-match-980969,Ravichandran Ashwin,1,0,7,0,7.00,2,1,0,0,0,Rising Pune Supergiants
