innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,ipl-2016-968923,sunrisers-hyderabad-vs-gujarat-lions-34th-match-980967,Bhuvneshwar Kumar,4,1,28,2,7.00,11,2,1,0,0,Sunrisers Hyderabad
1,ipl-2016-968923,sunrisers-hyderabad-vs-gujarat-lions-34th-match-980967,Ashish Nehra,4,1,23,0,5.75,13,2,1,0,0,Sunrisers Hyderabad
1,ipl-2016-968923,sunrisers-hyderabad-vs-gujarat-lions-34th-match-980967,Mustafizur Rahman,4,0,17,2,4.25,14,0,1,0,0,Sunrisers Hyderabad
1,ipl-2016-968923,sunrisers-hyderabad-vs-gujarat-lions-34th-match-980967,Barinder Sran,3,0,21,1,7.00,4,1,0,2,0,Sunrisers Hyderabad
1,ipl-2016-968923,sunrisers-hyderabad-vs-gujarat-lions-34th-match-980967,Moises Henriques,3,0,24,1,8.00,5,3,0,2,0,Sunrisers Hyderabad
1,ipl-2016-968923,sunrisers-hyderabad-vs-gujarat-lions-34th-match-980967,Yuvraj Singh,2,0,13,0,6.50,2,0,0,1,0,Sunrisers Hyderabad
2,ipl-2016-968923,sunrisers-hyderabad-vs-gujarat-lions-34th-match-980967,Praveen Kumar,4,0,28,1,7.00,11,4,0,1,0,Gujarat Lions
2,ipl-2016-968923,sunrisers-hyderabad-vs-gujarat-lions-34th-match-980967,Pradeep Sangwan,2,0,28,0,14.00,3,2,2,1,0,Gujarat Lions
2,ipl-2016-968923,sunrisers-hyderabad-vs-gujarat-lions-34th-match-980967,Dhawal Kulkarni,4,1,17,2,4.25,16,3,0,0,0,Gujarat Lions
2,ipl-2016-968923,sunrisers-hyderabad-vs-gujarat-lions-34th-match-980967,Shivil Kaushik,4,0,25,0,6.25,12,3,0,1,0,Gujarat Lions
2,ipl-2016-968923,sunrisers-hyderabad-vs-gujarat-lions-34th-match-980967,Ravindra Jadeja,2,0,14,0,7.00,4,1,0,0,0,Gujarat Lions
2,ipl-2016-968923,sunrisers-hyderabad-vs-gujarat-lions-34th-match-980967,Dwayne Bravo,3,0,14,2,4.66,6,0,0,0,0,Gujarat Lions
