innings,series,game,Player,Out Type,Runs,B,M,4s,6s,SR,team
1,ipl-2017-1078425,delhi-daredevils-vs-kolkata-knight-riders-18th-match-1082608,Sanju Samson,c Uthappa b UT Yadav,39,25,35,7,0,156.00,Delhi Daredevils
1,ipl-2017-1078425,delhi-daredevils-vs-kolkata-knight-riders-18th-match-1082608,Sam Billings,c Uthappa b Coulter-Nile,21,17,27,2,0,123.52,Delhi Daredevils
1,ipl-2017-1078425,delhi-daredevils-vs-kolkata-knight-riders-18th-match-1082608,Karun Nair, b Coulter-Nile,21,27,43,1,0,77.77,Delhi Daredevils
1,ipl-2017-1078425,delhi-daredevils-vs-kolkata-knight-riders-18th-match-1082608,Shreyas Iyer,run out (de Grandhomme/Uthappa),26,17,25,4,0,152.94,Delhi Daredevils
1,ipl-2017-1078425,delhi-daredevils-vs-kolkata-knight-riders-18th-match-1082608,Rishabh Pant,c Gambhir b Coulter-Nile,38,16,26,2,4,237.50,Delhi Daredevils
1,ipl-2017-1078425,delhi-daredevils-vs-kolkata-knight-riders-18th-match-1082608,Angelo Mathews, b Narine,1,4,11,0,0,25.00,Delhi Daredevils
1,ipl-2017-1078425,delhi-daredevils-vs-kolkata-knight-riders-18th-match-1082608,Chris Morris,c UT Yadav b Woakes,16,9,14,3,0,177.77,Delhi Daredevils
1,ipl-2017-1078425,delhi-daredevils-vs-kolkata-knight-riders-18th-match-1082608,Pat Cummins,not out ,3,4,11,0,0,75.00,Delhi Daredevils
1,ipl-2017-1078425,delhi-daredevils-vs-kolkata-knight-riders-18th-match-1082608,Mohammed Shami,not out ,0,1,1,0,0,0.00,Delhi Daredevils
2,ipl-2017-1078425,delhi-daredevils-vs-kolkata-knight-riders-18th-match-1082608,Gautam Gambhir (c),c Mathews b Khan,14,12,15,2,0,116.66,Kolkata Knight Riders
2,ipl-2017-1078425,delhi-daredevils-vs-kolkata-knight-riders-18th-match-1082608,Colin de Grandhomme,c Billings b Khan,1,2,3,0,0,50.00,Kolkata Knight Riders
2,ipl-2017-1078425,delhi-daredevils-vs-kolkata-knight-riders-18th-match-1082608,Robin Uthappa,c Pant b Cummins,4,2,6,1,0,200.00,Kolkata Knight Riders
2,ipl-2017-1078425,delhi-daredevils-vs-kolkata-knight-riders-18th-match-1082608,Manish Pandey,not out ,69,49,95,4,3,140.81,Kolkata Knight Riders
2,ipl-2017-1078425,delhi-daredevils-vs-kolkata-knight-riders-18th-match-1082608,Yusuf Pathan,c & b Morris,59,39,58,6,2,151.28,Kolkata Knight Riders
2,ipl-2017-1078425,delhi-daredevils-vs-kolkata-knight-riders-18th-match-1082608,Suryakumar Yadav,c Khan b Cummins,7,9,16,0,0,77.77,Kolkata Knight Riders
2,ipl-2017-1078425,delhi-daredevils-vs-kolkata-knight-riders-18th-match-1082608,Chris Woakes,st Pant b Mishra,3,5,11,0,0,60.00,Kolkata Knight Riders
2,ipl-2017-1078425,delhi-daredevils-vs-kolkata-knight-riders-18th-match-1082608,Sunil Narine,not out ,1,1,2,0,0,100.00,Kolkata Knight Riders
