innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,ipl-2017-1078425,delhi-daredevils-vs-royal-challengers-bangalore-56th-match-1082646,Zaheer Khan,4,0,31,1,7.75,10,2,2,1,0,Delhi Daredevils
1,ipl-2017-1078425,delhi-daredevils-vs-royal-challengers-bangalore-56th-match-1082646,Mohammed Shami,4,0,31,0,7.75,11,2,2,1,0,Delhi Daredevils
1,ipl-2017-1078425,delhi-daredevils-vs-royal-challengers-bangalore-56th-match-1082646,Pat Cummins,4,0,21,2,5.25,10,1,0,2,0,Delhi Daredevils
1,ipl-2017-1078425,delhi-daredevils-vs-royal-challengers-bangalore-56th-match-1082646,Amit Mishra,2,0,26,0,13.00,3,2,2,0,0,Delhi Daredevils
1,ipl-2017-1078425,delhi-daredevils-vs-royal-challengers-bangalore-56th-match-1082646,Corey Anderson,4,0,38,0,9.50,3,3,1,2,0,Delhi Daredevils
1,ipl-2017-1078425,delhi-daredevils-vs-royal-challengers-bangalore-56th-match-1082646,Shahbaz Nadeem,2,0,12,1,6.00,4,1,0,1,0,Delhi Daredevils
2,ipl-2017-1078425,delhi-daredevils-vs-royal-challengers-bangalore-56th-match-1082646,Avesh Khan,4,0,23,1,5.75,12,2,1,0,0,Royal Challengers Bangalore
2,ipl-2017-1078425,delhi-daredevils-vs-royal-challengers-bangalore-56th-match-1082646,Yuzvendra Chahal,3,0,24,0,8.00,8,2,1,0,1,Royal Challengers Bangalore
2,ipl-2017-1078425,delhi-daredevils-vs-royal-challengers-bangalore-56th-match-1082646,Harshal Patel,4,0,43,3,10.75,8,7,1,1,0,Royal Challengers Bangalore
2,ipl-2017-1078425,delhi-daredevils-vs-royal-challengers-bangalore-56th-match-1082646,Shane Watson,4,0,16,1,4.00,11,1,0,0,0,Royal Challengers Bangalore
2,ipl-2017-1078425,delhi-daredevils-vs-royal-challengers-bangalore-56th-match-1082646,Travis Head,3,0,30,2,10.00,5,1,2,0,0,Royal Challengers Bangalore
2,ipl-2017-1078425,delhi-daredevils-vs-royal-challengers-bangalore-56th-match-1082646,Pawan Negi,2,0,10,3,5.00,7,0,1,0,0,Royal Challengers Bangalore
