innings,series,game,Player,Out Type,Runs,B,M,4s,6s,SR,team
1,ipl-2017-1078425,gujarat-lions-vs-sunrisers-hyderabad-53rd-match-1082643,Dwayne Smith,lbw b Rashid Khan,54,33,49,7,2,163.63,Gujarat Lions
1,ipl-2017-1078425,gujarat-lions-vs-sunrisers-hyderabad-53rd-match-1082643,Ishan Kishan,c Ojha b Mohammed Siraj,61,40,60,5,4,152.50,Gujarat Lions
1,ipl-2017-1078425,gujarat-lions-vs-sunrisers-hyderabad-53rd-match-1082643,Suresh Raina (c),c Dhawan b Mohammed Siraj,2,5,12,0,0,40.00,Gujarat Lions
1,ipl-2017-1078425,gujarat-lions-vs-sunrisers-hyderabad-53rd-match-1082643,Dinesh Karthik,c Hooda b Rashid Khan,0,1,3,0,0,0.00,Gujarat Lions
1,ipl-2017-1078425,gujarat-lions-vs-sunrisers-hyderabad-53rd-match-1082643,Aaron Finch, b Rashid Khan,2,3,4,0,0,66.66,Gujarat Lions
1,ipl-2017-1078425,gujarat-lions-vs-sunrisers-hyderabad-53rd-match-1082643,Ravindra Jadeja,not out ,20,14,35,2,0,142.85,Gujarat Lions
1,ipl-2017-1078425,gujarat-lions-vs-sunrisers-hyderabad-53rd-match-1082643,James Faulkner, b Mohammed Siraj,8,10,15,1,0,80.00,Gujarat Lions
1,ipl-2017-1078425,gujarat-lions-vs-sunrisers-hyderabad-53rd-match-1082643,Pradeep Sangwan, b Mohammed Siraj,0,1,1,0,0,0.00,Gujarat Lions
1,ipl-2017-1078425,gujarat-lions-vs-sunrisers-hyderabad-53rd-match-1082643,Ankit Soni, b Kaul,0,6,9,0,0,0.00,Gujarat Lions
1,ipl-2017-1078425,gujarat-lions-vs-sunrisers-hyderabad-53rd-match-1082643,Praveen Kumar, b Kumar,1,2,2,0,0,50.00,Gujarat Lions
1,ipl-2017-1078425,gujarat-lions-vs-sunrisers-hyderabad-53rd-match-1082643,Munaf Patel, b Kumar,0,1,1,0,0,0.00,Gujarat Lions
2,ipl-2017-1078425,gujarat-lions-vs-sunrisers-hyderabad-53rd-match-1082643,David Warner (c),not out ,69,52,84,9,0,132.69,Sunrisers Hyderabad
2,ipl-2017-1078425,gujarat-lions-vs-sunrisers-hyderabad-53rd-match-1082643,Shikhar Dhawan,c Faulkner b Kumar,18,11,9,4,0,163.63,Sunrisers Hyderabad
2,ipl-2017-1078425,gujarat-lions-vs-sunrisers-hyderabad-53rd-match-1082643,Moises Henriques,c Karthik b Kumar,4,2,3,1,0,200.00,Sunrisers Hyderabad
2,ipl-2017-1078425,gujarat-lions-vs-sunrisers-hyderabad-53rd-match-1082643,Vijay Shankar,not out ,63,44,70,9,0,143.18,Sunrisers Hyderabad
