innings,series,game,Player,Out Type,Runs,B,M,4s,6s,SR,team
1,ipl-2017-1078425,kings-xi-punjab-vs-mumbai-indians-22nd-match-1082612,Hashim Amla,not out ,104,60,95,8,6,173.33,Kings XI Punjab
1,ipl-2017-1078425,kings-xi-punjab-vs-mumbai-indians-22nd-match-1082612,Shaun Marsh,c Pollard b McClenaghan,26,21,25,5,0,123.80,Kings XI Punjab
1,ipl-2017-1078425,kings-xi-punjab-vs-mumbai-indians-22nd-match-1082612,Wriddhiman Saha, b KH Pandya,11,15,19,0,0,73.33,Kings XI Punjab
1,ipl-2017-1078425,kings-xi-punjab-vs-mumbai-indians-22nd-match-1082612,Glenn Maxwell (c), b Bumrah,40,18,30,4,3,222.22,Kings XI Punjab
1,ipl-2017-1078425,kings-xi-punjab-vs-mumbai-indians-22nd-match-1082612,Marcus Stoinis,c Pollard b McClenaghan,1,3,4,0,0,33.33,Kings XI Punjab
1,ipl-2017-1078425,kings-xi-punjab-vs-mumbai-indians-22nd-match-1082612,Axar Patel,not out ,4,5,13,0,0,80.00,Kings XI Punjab
2,ipl-2017-1078425,kings-xi-punjab-vs-mumbai-indians-22nd-match-1082612,Parthiv Patel,c Maxwell b Stoinis,37,18,28,4,2,205.55,Mumbai Indians
2,ipl-2017-1078425,kings-xi-punjab-vs-mumbai-indians-22nd-match-1082612,Jos Buttler,c Maxwell b MM Sharma,77,37,63,7,5,208.10,Mumbai Indians
2,ipl-2017-1078425,kings-xi-punjab-vs-mumbai-indians-22nd-match-1082612,Nitish Rana,not out ,62,34,49,0,7,182.35,Mumbai Indians
2,ipl-2017-1078425,kings-xi-punjab-vs-mumbai-indians-22nd-match-1082612,Hardik Pandya,not out ,15,4,14,2,1,375.00,Mumbai Indians
