innings,series,game,Player,Out Type,Runs,B,M,4s,6s,SR,team
1,ipl-2017-1078425,kolkata-knight-riders-vs-gujarat-lions-23rd-match-1082613,Sunil Narine,c Faulkner b Raina,42,17,15,9,1,247.05,Kolkata Knight Riders
1,ipl-2017-1078425,kolkata-knight-riders-vs-gujarat-lions-23rd-match-1082613,Gautam Gambhir (c),c Raina b Faulkner,33,28,48,2,1,117.85,Kolkata Knight Riders
1,ipl-2017-1078425,kolkata-knight-riders-vs-gujarat-lions-23rd-match-1082613,Robin Uthappa,c McCullum b Kumar,72,48,64,8,2,150.00,Kolkata Knight Riders
1,ipl-2017-1078425,kolkata-knight-riders-vs-gujarat-lions-23rd-match-1082613,Manish Pandey, b Basil Thampi,24,21,38,2,0,114.28,Kolkata Knight Riders
1,ipl-2017-1078425,kolkata-knight-riders-vs-gujarat-lions-23rd-match-1082613,Yusuf Pathan,not out ,11,4,12,2,0,275.00,Kolkata Knight Riders
1,ipl-2017-1078425,kolkata-knight-riders-vs-gujarat-lions-23rd-match-1082613,Suryakumar Yadav,run out (McCullum/Karthik),1,1,2,0,0,100.00,Kolkata Knight Riders
1,ipl-2017-1078425,kolkata-knight-riders-vs-gujarat-lions-23rd-match-1082613,Shakib Al Hasan,not out ,1,1,2,0,0,100.00,Kolkata Knight Riders
2,ipl-2017-1078425,kolkata-knight-riders-vs-gujarat-lions-23rd-match-1082613,Aaron Finch,c Pandey b Coulter-Nile,31,15,13,4,2,206.66,Gujarat Lions
2,ipl-2017-1078425,kolkata-knight-riders-vs-gujarat-lions-23rd-match-1082613,Brendon McCullum,c Pandey b Woakes,33,17,26,5,1,194.11,Gujarat Lions
2,ipl-2017-1078425,kolkata-knight-riders-vs-gujarat-lions-23rd-match-1082613,Suresh Raina (c),c Pandey b Kuldeep Yadav,84,46,69,9,4,182.60,Gujarat Lions
2,ipl-2017-1078425,kolkata-knight-riders-vs-gujarat-lions-23rd-match-1082613,Dinesh Karthik,c Gambhir b Coulter-Nile,3,3,5,0,0,100.00,Gujarat Lions
2,ipl-2017-1078425,kolkata-knight-riders-vs-gujarat-lions-23rd-match-1082613,Ishan Kishan,c UT Yadav b Kuldeep Yadav,4,11,19,0,0,36.36,Gujarat Lions
2,ipl-2017-1078425,kolkata-knight-riders-vs-gujarat-lions-23rd-match-1082613,Dwayne Smith, b UT Yadav,5,4,5,1,0,125.00,Gujarat Lions
2,ipl-2017-1078425,kolkata-knight-riders-vs-gujarat-lions-23rd-match-1082613,Ravindra Jadeja,not out ,19,13,27,1,1,146.15,Gujarat Lions
2,ipl-2017-1078425,kolkata-knight-riders-vs-gujarat-lions-23rd-match-1082613,James Faulkner,not out ,4,2,3,0,0,200.00,Gujarat Lions
