innings,series,game,Player,Out Type,Runs,B,M,4s,6s,SR,team
1,ipl-2017-1078425,kolkata-knight-riders-vs-sunrisers-hyderabad-14th-match-1082604,Sunil Narine, b Kumar,6,9,10,1,0,66.66,Kolkata Knight Riders
1,ipl-2017-1078425,kolkata-knight-riders-vs-sunrisers-hyderabad-14th-match-1082604,Gautam Gambhir (c), b Rashid Khan,15,16,28,2,0,93.75,Kolkata Knight Riders
1,ipl-2017-1078425,kolkata-knight-riders-vs-sunrisers-hyderabad-14th-match-1082604,Robin Uthappa,c Rashid Khan b Cutting,68,39,59,5,4,174.35,Kolkata Knight Riders
1,ipl-2017-1078425,kolkata-knight-riders-vs-sunrisers-hyderabad-14th-match-1082604,Manish Pandey,c Warner b Kumar,46,35,59,3,2,131.42,Kolkata Knight Riders
1,ipl-2017-1078425,kolkata-knight-riders-vs-sunrisers-hyderabad-14th-match-1082604,Yusuf Pathan,not out ,21,15,30,1,1,140.00,Kolkata Knight Riders
1,ipl-2017-1078425,kolkata-knight-riders-vs-sunrisers-hyderabad-14th-match-1082604,Suryakumar Yadav,c Ojha b Nehra,4,3,5,1,0,133.33,Kolkata Knight Riders
1,ipl-2017-1078425,kolkata-knight-riders-vs-sunrisers-hyderabad-14th-match-1082604,Colin de Grandhomme, b Kumar,0,2,3,0,0,0.00,Kolkata Knight Riders
1,ipl-2017-1078425,kolkata-knight-riders-vs-sunrisers-hyderabad-14th-match-1082604,Chris Woakes,not out ,1,1,2,0,0,100.00,Kolkata Knight Riders
2,ipl-2017-1078425,kolkata-knight-riders-vs-sunrisers-hyderabad-14th-match-1082604,David Warner (c),c Woakes b Kuldeep Yadav,26,30,42,4,0,86.66,Sunrisers Hyderabad
2,ipl-2017-1078425,kolkata-knight-riders-vs-sunrisers-hyderabad-14th-match-1082604,Shikhar Dhawan,c de Grandhomme b Pathan,23,22,28,4,0,104.54,Sunrisers Hyderabad
2,ipl-2017-1078425,kolkata-knight-riders-vs-sunrisers-hyderabad-14th-match-1082604,Moises Henriques,c & b Woakes,13,10,19,2,0,130.00,Sunrisers Hyderabad
2,ipl-2017-1078425,kolkata-knight-riders-vs-sunrisers-hyderabad-14th-match-1082604,Yuvraj Singh,c sub (R Dhawan) b Woakes,26,16,27,2,2,162.50,Sunrisers Hyderabad
2,ipl-2017-1078425,kolkata-knight-riders-vs-sunrisers-hyderabad-14th-match-1082604,Deepak Hooda,st Uthappa b Narine,13,7,12,1,1,185.71,Sunrisers Hyderabad
2,ipl-2017-1078425,kolkata-knight-riders-vs-sunrisers-hyderabad-14th-match-1082604,Ben Cutting,c de Grandhomme b Boult,15,10,21,1,1,150.00,Sunrisers Hyderabad
2,ipl-2017-1078425,kolkata-knight-riders-vs-sunrisers-hyderabad-14th-match-1082604,Naman Ojha,not out ,11,11,25,0,0,100.00,Sunrisers Hyderabad
2,ipl-2017-1078425,kolkata-knight-riders-vs-sunrisers-hyderabad-14th-match-1082604,Bipul Sharma,not out ,21,14,12,2,1,150.00,Sunrisers Hyderabad
