innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,ipl-2017-1078425,mumbai-indians-vs-delhi-daredevils-25th-match-1082614,Kagiso Rabada,4,0,30,1,7.50,13,0,2,2,1,Delhi Daredevils
1,ipl-2017-1078425,mumbai-indians-vs-delhi-daredevils-25th-match-1082614,Chris Morris,4,0,33,0,8.25,10,2,2,1,0,Delhi Daredevils
1,ipl-2017-1078425,mumbai-indians-vs-delhi-daredevils-25th-match-1082614,Zaheer Khan,4,0,36,0,9.00,8,6,0,1,0,Delhi Daredevils
1,ipl-2017-1078425,mumbai-indians-vs-delhi-daredevils-25th-match-1082614,Amit Mishra,4,1,18,2,4.50,14,2,0,1,0,Delhi Daredevils
1,ipl-2017-1078425,mumbai-indians-vs-delhi-daredevils-25th-match-1082614,Pat Cummins,4,0,20,2,5.00,11,1,0,1,0,Delhi Daredevils
2,ipl-2017-1078425,mumbai-indians-vs-delhi-daredevils-25th-match-1082614,Mitchell Johnson,4,1,23,0,5.75,14,3,0,1,0,Mumbai Indians
2,ipl-2017-1078425,mumbai-indians-vs-delhi-daredevils-25th-match-1082614,Mitchell McClenaghan,4,0,24,3,6.00,12,2,1,1,0,Mumbai Indians
2,ipl-2017-1078425,mumbai-indians-vs-delhi-daredevils-25th-match-1082614,Jasprit Bumrah,4,0,21,2,5.25,11,2,0,1,0,Mumbai Indians
2,ipl-2017-1078425,mumbai-indians-vs-delhi-daredevils-25th-match-1082614,Hardik Pandya,3,0,23,1,7.66,6,2,0,2,0,Mumbai Indians
2,ipl-2017-1078425,mumbai-indians-vs-delhi-daredevils-25th-match-1082614,Harbhajan Singh,4,0,26,0,6.50,9,2,1,0,0,Mumbai Indians
2,ipl-2017-1078425,mumbai-indians-vs-delhi-daredevils-25th-match-1082614,Krunal Pandya,1,0,8,0,8.00,1,1,0,0,0,Mumbai Indians
