innings,series,game,Player,Out Type,Runs,B,M,4s,6s,SR,team
1,ipl-2017-1078425,rising-pune-supergiant-vs-gujarat-lions-39th-match-1082629,Ishan Kishan,c Washington Sundar b Imran Tahir,31,24,25,3,2,129.16,Gujarat Lions
1,ipl-2017-1078425,rising-pune-supergiant-vs-gujarat-lions-39th-match-1082629,Brendon McCullum,c Rahane b Thakur,45,27,58,5,2,166.66,Gujarat Lions
1,ipl-2017-1078425,rising-pune-supergiant-vs-gujarat-lions-39th-match-1082629,Suresh Raina (c),run out (Rahane/Dhoni),8,8,12,0,0,100.00,Gujarat Lions
1,ipl-2017-1078425,rising-pune-supergiant-vs-gujarat-lions-39th-match-1082629,Aaron Finch,c & b Imran Tahir,13,6,8,1,1,216.66,Gujarat Lions
1,ipl-2017-1078425,rising-pune-supergiant-vs-gujarat-lions-39th-match-1082629,Dwayne Smith, b Imran Tahir,0,1,1,0,0,0.00,Gujarat Lions
1,ipl-2017-1078425,rising-pune-supergiant-vs-gujarat-lions-39th-match-1082629,Dinesh Karthik,run out (Dhoni),29,26,49,3,0,111.53,Gujarat Lions
1,ipl-2017-1078425,rising-pune-supergiant-vs-gujarat-lions-39th-match-1082629,Ravindra Jadeja,c Unadkat b Christian,19,12,15,3,0,158.33,Gujarat Lions
1,ipl-2017-1078425,rising-pune-supergiant-vs-gujarat-lions-39th-match-1082629,James Faulkner,c Tiwary b Unadkat,6,7,12,0,0,85.71,Gujarat Lions
1,ipl-2017-1078425,rising-pune-supergiant-vs-gujarat-lions-39th-match-1082629,Pradeep Sangwan,c Tripathi b Unadkat,1,2,2,0,0,50.00,Gujarat Lions
1,ipl-2017-1078425,rising-pune-supergiant-vs-gujarat-lions-39th-match-1082629,Basil Thampi,not out ,2,5,10,0,0,40.00,Gujarat Lions
1,ipl-2017-1078425,rising-pune-supergiant-vs-gujarat-lions-39th-match-1082629,Ankit Soni, b Unadkat,0,1,1,0,0,0.00,Gujarat Lions
2,ipl-2017-1078425,rising-pune-supergiant-vs-gujarat-lions-39th-match-1082629,Ajinkya Rahane,lbw b Sangwan,4,4,3,1,0,100.00,Rising Pune Supergiant
2,ipl-2017-1078425,rising-pune-supergiant-vs-gujarat-lions-39th-match-1082629,Rahul Tripathi,run out (Finch),6,7,28,1,0,85.71,Rising Pune Supergiant
2,ipl-2017-1078425,rising-pune-supergiant-vs-gujarat-lions-39th-match-1082629,Steven Smith (c),c Ankit Soni b Sangwan,4,2,2,1,0,200.00,Rising Pune Supergiant
2,ipl-2017-1078425,rising-pune-supergiant-vs-gujarat-lions-39th-match-1082629,Manoj Tiwary,lbw b Basil Thampi,0,2,2,0,0,0.00,Rising Pune Supergiant
2,ipl-2017-1078425,rising-pune-supergiant-vs-gujarat-lions-39th-match-1082629,Ben Stokes,not out ,103,63,85,7,6,163.49,Rising Pune Supergiant
2,ipl-2017-1078425,rising-pune-supergiant-vs-gujarat-lions-39th-match-1082629,MS Dhoni,c McCullum b Basil Thampi,26,33,45,1,1,78.78,Rising Pune Supergiant
2,ipl-2017-1078425,rising-pune-supergiant-vs-gujarat-lions-39th-match-1082629,Dan Christian,not out ,17,8,20,1,1,212.50,Rising Pune Supergiant
