innings,series,game,Player,Out Type,Runs,B,M,4s,6s,SR,team
1,ipl-2017-1078425,sunrisers-hyderabad-vs-gujarat-lions-6th-match-1082596,Jason Roy,c Dhawan b Kumar,31,21,27,5,0,147.61,Gujarat Lions
1,ipl-2017-1078425,sunrisers-hyderabad-vs-gujarat-lions-6th-match-1082596,Brendon McCullum,lbw b Rashid Khan,5,10,20,0,0,50.00,Gujarat Lions
1,ipl-2017-1078425,sunrisers-hyderabad-vs-gujarat-lions-6th-match-1082596,Suresh Raina (c),lbw b Rashid Khan,5,8,23,0,0,62.50,Gujarat Lions
1,ipl-2017-1078425,sunrisers-hyderabad-vs-gujarat-lions-6th-match-1082596,Aaron Finch,lbw b Rashid Khan,3,5,4,0,0,60.00,Gujarat Lions
1,ipl-2017-1078425,sunrisers-hyderabad-vs-gujarat-lions-6th-match-1082596,Dinesh Karthik,c Ojha b Nehra,30,32,54,2,0,93.75,Gujarat Lions
1,ipl-2017-1078425,sunrisers-hyderabad-vs-gujarat-lions-6th-match-1082596,Dwayne Smith,c sub (V Shankar) b Kumar,37,27,38,4,1,137.03,Gujarat Lions
1,ipl-2017-1078425,sunrisers-hyderabad-vs-gujarat-lions-6th-match-1082596,Dhawal Kulkarni,run out (Rashid Khan),1,2,6,0,0,50.00,Gujarat Lions
1,ipl-2017-1078425,sunrisers-hyderabad-vs-gujarat-lions-6th-match-1082596,Praveen Kumar,not out ,7,7,13,0,0,100.00,Gujarat Lions
1,ipl-2017-1078425,sunrisers-hyderabad-vs-gujarat-lions-6th-match-1082596,Basil Thampi,not out ,13,8,10,0,1,162.50,Gujarat Lions
2,ipl-2017-1078425,sunrisers-hyderabad-vs-gujarat-lions-6th-match-1082596,David Warner (c),not out ,76,45,70,6,4,168.88,Sunrisers Hyderabad
2,ipl-2017-1078425,sunrisers-hyderabad-vs-gujarat-lions-6th-match-1082596,Shikhar Dhawan,c McCullum b Kumar,9,9,12,0,1,100.00,Sunrisers Hyderabad
2,ipl-2017-1078425,sunrisers-hyderabad-vs-gujarat-lions-6th-match-1082596,Moises Henriques,not out ,52,39,57,6,0,133.33,Sunrisers Hyderabad
