innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,ipl-2017-1078425,sunrisers-hyderabad-vs-kolkata-knight-riders-37th-match-1082627,Nathan Coulter-Nile,4,0,34,0,8.50,7,2,1,1,0,Kolkata Knight Riders
1,ipl-2017-1078425,sunrisers-hyderabad-vs-kolkata-knight-riders-37th-match-1082627,Umesh Yadav,4,0,30,0,7.50,11,1,2,0,0,Kolkata Knight Riders
1,ipl-2017-1078425,sunrisers-hyderabad-vs-kolkata-knight-riders-37th-match-1082627,Chris Woakes,4,0,46,1,11.50,8,5,2,1,0,Kolkata Knight Riders
1,ipl-2017-1078425,sunrisers-hyderabad-vs-kolkata-knight-riders-37th-match-1082627,Yusuf Pathan,1,0,17,0,17.00,1,2,1,0,0,Kolkata Knight Riders
1,ipl-2017-1078425,sunrisers-hyderabad-vs-kolkata-knight-riders-37th-match-1082627,Sunil Narine,3,0,37,0,12.33,2,4,1,1,0,Kolkata Knight Riders
1,ipl-2017-1078425,sunrisers-hyderabad-vs-kolkata-knight-riders-37th-match-1082627,Kuldeep Yadav,4,0,43,0,10.75,5,3,2,2,0,Kolkata Knight Riders
2,ipl-2017-1078425,sunrisers-hyderabad-vs-kolkata-knight-riders-37th-match-1082627,Bhuvneshwar Kumar,4,0,29,2,7.25,7,3,0,0,0,Sunrisers Hyderabad
2,ipl-2017-1078425,sunrisers-hyderabad-vs-kolkata-knight-riders-37th-match-1082627,Mohammed Siraj,4,0,26,2,6.50,12,2,1,0,0,Sunrisers Hyderabad
2,ipl-2017-1078425,sunrisers-hyderabad-vs-kolkata-knight-riders-37th-match-1082627,Siddarth Kaul,4,0,26,2,6.50,11,4,0,0,0,Sunrisers Hyderabad
2,ipl-2017-1078425,sunrisers-hyderabad-vs-kolkata-knight-riders-37th-match-1082627,Moises Henriques,3,0,31,0,10.33,1,1,2,0,0,Sunrisers Hyderabad
2,ipl-2017-1078425,sunrisers-hyderabad-vs-kolkata-knight-riders-37th-match-1082627,Rashid Khan,4,0,38,1,9.50,7,2,2,1,0,Sunrisers Hyderabad
2,ipl-2017-1078425,sunrisers-hyderabad-vs-kolkata-knight-riders-37th-match-1082627,Bipul Sharma,1,0,10,0,10.00,0,0,0,1,0,Sunrisers Hyderabad
