innings,series,game,Player,Out Type,Runs,B,M,4s,6s,SR,team
1,ipl-2017-1078425,sunrisers-hyderabad-vs-royal-challengers-bangalore-1st-match-1082591,David Warner (c),c Mandeep Singh b Choudhary,14,8,10,2,1,175.00,Sunrisers Hyderabad
1,ipl-2017-1078425,sunrisers-hyderabad-vs-royal-challengers-bangalore-1st-match-1082591,Shikhar Dhawan,c Sachin Baby b Binny,40,31,51,5,0,129.03,Sunrisers Hyderabad
1,ipl-2017-1078425,sunrisers-hyderabad-vs-royal-challengers-bangalore-1st-match-1082591,Moises Henriques,c Sachin Baby b Chahal,52,37,67,3,2,140.54,Sunrisers Hyderabad
1,ipl-2017-1078425,sunrisers-hyderabad-vs-royal-challengers-bangalore-1st-match-1082591,Yuvraj Singh, b Mills,62,27,49,7,3,229.62,Sunrisers Hyderabad
1,ipl-2017-1078425,sunrisers-hyderabad-vs-royal-challengers-bangalore-1st-match-1082591,Deepak Hooda,not out ,16,12,29,0,1,133.33,Sunrisers Hyderabad
1,ipl-2017-1078425,sunrisers-hyderabad-vs-royal-challengers-bangalore-1st-match-1082591,Ben Cutting,not out ,16,6,6,0,2,266.66,Sunrisers Hyderabad
2,ipl-2017-1078425,sunrisers-hyderabad-vs-royal-challengers-bangalore-1st-match-1082591,Chris Gayle,c Warner b Hooda,32,21,30,2,3,152.38,Royal Challengers Bangalore
2,ipl-2017-1078425,sunrisers-hyderabad-vs-royal-challengers-bangalore-1st-match-1082591,Mandeep Singh, b Rashid Khan,24,16,26,5,0,150.00,Royal Challengers Bangalore
2,ipl-2017-1078425,sunrisers-hyderabad-vs-royal-challengers-bangalore-1st-match-1082591,Travis Head,c Yuvraj Singh b Rashid Khan,30,22,39,3,0,136.36,Royal Challengers Bangalore
2,ipl-2017-1078425,sunrisers-hyderabad-vs-royal-challengers-bangalore-1st-match-1082591,Kedar Jadhav,run out (Cutting),31,16,38,4,1,193.75,Royal Challengers Bangalore
2,ipl-2017-1078425,sunrisers-hyderabad-vs-royal-challengers-bangalore-1st-match-1082591,Shane Watson (c),c Henriques b Nehra,22,17,31,1,1,129.41,Royal Challengers Bangalore
2,ipl-2017-1078425,sunrisers-hyderabad-vs-royal-challengers-bangalore-1st-match-1082591,Sachin Baby,c Henriques b Bipul Sharma,1,3,5,0,0,33.33,Royal Challengers Bangalore
2,ipl-2017-1078425,sunrisers-hyderabad-vs-royal-challengers-bangalore-1st-match-1082591,Stuart Binny,c Yuvraj Singh b Kumar,11,10,14,0,1,110.00,Royal Challengers Bangalore
2,ipl-2017-1078425,sunrisers-hyderabad-vs-royal-challengers-bangalore-1st-match-1082591,Sreenath Aravind, b Nehra,0,2,5,0,0,0.00,Royal Challengers Bangalore
2,ipl-2017-1078425,sunrisers-hyderabad-vs-royal-challengers-bangalore-1st-match-1082591,Tymal Mills,c Warner b Kumar,6,3,6,0,1,200.00,Royal Challengers Bangalore
2,ipl-2017-1078425,sunrisers-hyderabad-vs-royal-challengers-bangalore-1st-match-1082591,Yuzvendra Chahal,run out (sub [CJ Jordan]),3,7,9,0,0,42.85,Royal Challengers Bangalore
2,ipl-2017-1078425,sunrisers-hyderabad-vs-royal-challengers-bangalore-1st-match-1082591,Aniket Choudhary,not out ,6,2,4,0,1,300.00,Royal Challengers Bangalore
