innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,ipl-2018-1131611,chennai-super-kings-vs-kolkata-knight-riders-5th-match-1136565,Deepak Chahar,1,0,18,0,18.00,2,1,2,1,0,Chennai Super Kings
1,ipl-2018-1131611,chennai-super-kings-vs-kolkata-knight-riders-5th-match-1136565,Harbhajan Singh,2,0,11,1,5.50,5,1,0,0,0,Chennai Super Kings
1,ipl-2018-1131611,chennai-super-kings-vs-kolkata-knight-riders-5th-match-1136565,Shane Watson,4,0,39,2,9.75,7,5,1,2,0,Chennai Super Kings
1,ipl-2018-1131611,chennai-super-kings-vs-kolkata-knight-riders-5th-match-1136565,Ravindra Jadeja,2,0,19,1,9.50,6,1,2,0,0,Chennai Super Kings
1,ipl-2018-1131611,chennai-super-kings-vs-kolkata-knight-riders-5th-match-1136565,Imran Tahir,4,0,26,0,6.50,11,2,1,0,0,Chennai Super Kings
1,ipl-2018-1131611,chennai-super-kings-vs-kolkata-knight-riders-5th-match-1136565,Shardul Thakur,4,0,37,1,9.25,11,1,4,0,0,Chennai Super Kings
1,ipl-2018-1131611,chennai-super-kings-vs-kolkata-knight-riders-5th-match-1136565,Dwayne Bravo,3,0,50,0,16.66,3,0,7,0,0,Chennai Super Kings
2,ipl-2018-1131611,chennai-super-kings-vs-kolkata-knight-riders-5th-match-1136565,Vinay Kumar,1.5,0,35,0,19.09,2,2,3,1,1,Kolkata Knight Riders
2,ipl-2018-1131611,chennai-super-kings-vs-kolkata-knight-riders-5th-match-1136565,Piyush Chawla,4,0,49,1,12.25,5,3,3,1,0,Kolkata Knight Riders
2,ipl-2018-1131611,chennai-super-kings-vs-kolkata-knight-riders-5th-match-1136565,Andre Russell,4,0,35,0,8.75,7,2,2,0,0,Kolkata Knight Riders
2,ipl-2018-1131611,chennai-super-kings-vs-kolkata-knight-riders-5th-match-1136565,Tom Curran,3,0,39,2,13.00,3,1,4,0,0,Kolkata Knight Riders
2,ipl-2018-1131611,chennai-super-kings-vs-kolkata-knight-riders-5th-match-1136565,Sunil Narine,4,0,17,1,4.25,9,0,0,0,0,Kolkata Knight Riders
2,ipl-2018-1131611,chennai-super-kings-vs-kolkata-knight-riders-5th-match-1136565,Kuldeep Yadav,3,0,27,1,9.00,5,1,2,1,0,Kolkata Knight Riders
