innings,series,game,Player,Out Type,Runs,B,M,4s,6s,SR,team
1,ipl-2018-1131611,chennai-super-kings-vs-mumbai-indians-27th-match-1136587,Shane Watson,c Markande b KH Pandya,12,11,-,1,0,109.09,Chennai Super Kings
1,ipl-2018-1131611,chennai-super-kings-vs-mumbai-indians-27th-match-1136587,Ambati Rayudu,c Cutting b KH Pandya,46,35,-,2,4,131.42,Chennai Super Kings
1,ipl-2018-1131611,chennai-super-kings-vs-mumbai-indians-27th-match-1136587,Suresh Raina,not out ,75,47,-,6,4,159.57,Chennai Super Kings
1,ipl-2018-1131611,chennai-super-kings-vs-mumbai-indians-27th-match-1136587,MS Dhoni (c)†,c Lewis b McClenaghan,26,21,-,3,1,123.80,Chennai Super Kings
1,ipl-2018-1131611,chennai-super-kings-vs-mumbai-indians-27th-match-1136587,Dwayne Bravo,c Markande b McClenaghan,0,1,-,0,0,0.00,Chennai Super Kings
1,ipl-2018-1131611,chennai-super-kings-vs-mumbai-indians-27th-match-1136587,Sam Billings,c Cutting b HH Pandya,3,5,-,0,0,60.00,Chennai Super Kings
1,ipl-2018-1131611,chennai-super-kings-vs-mumbai-indians-27th-match-1136587,Ravindra Jadeja,not out ,0,0,-,0,0,-,Chennai Super Kings
2,ipl-2018-1131611,chennai-super-kings-vs-mumbai-indians-27th-match-1136587,Suryakumar Yadav,c Jadeja b Harbhajan Singh,44,34,-,5,1,129.41,Mumbai Indians
2,ipl-2018-1131611,chennai-super-kings-vs-mumbai-indians-27th-match-1136587,Evin Lewis,c Thakur b Bravo,47,43,-,3,2,109.30,Mumbai Indians
2,ipl-2018-1131611,chennai-super-kings-vs-mumbai-indians-27th-match-1136587,Rohit Sharma (c),not out ,56,33,-,6,2,169.69,Mumbai Indians
2,ipl-2018-1131611,chennai-super-kings-vs-mumbai-indians-27th-match-1136587,Hardik Pandya,not out ,13,8,-,0,1,162.50,Mumbai Indians
