innings,series,game,Player,Out Type,Runs,B,M,4s,6s,SR,team
1,ipl-2018-1131611,kolkata-knight-riders-vs-mumbai-indians-41st-match-1136601,Suryakumar Yadav,c Singh b Chawla,36,32,-,5,1,112.50,Mumbai Indians
1,ipl-2018-1131611,kolkata-knight-riders-vs-mumbai-indians-41st-match-1136601,Evin Lewis,c Lynn b Chawla,18,13,-,3,0,138.46,Mumbai Indians
1,ipl-2018-1131611,kolkata-knight-riders-vs-mumbai-indians-41st-match-1136601,Rohit Sharma (c),c Uthappa b Prasidh Krishna,36,31,-,2,1,116.12,Mumbai Indians
1,ipl-2018-1131611,kolkata-knight-riders-vs-mumbai-indians-41st-match-1136601,Ishan Kishan,c Uthappa b Narine,62,21,-,5,6,295.23,Mumbai Indians
1,ipl-2018-1131611,kolkata-knight-riders-vs-mumbai-indians-41st-match-1136601,Hardik Pandya,c Singh b Curran,19,13,-,0,2,146.15,Mumbai Indians
1,ipl-2018-1131611,kolkata-knight-riders-vs-mumbai-indians-41st-match-1136601,Ben Cutting,c Russell b Chawla,24,9,-,1,3,266.66,Mumbai Indians
1,ipl-2018-1131611,kolkata-knight-riders-vs-mumbai-indians-41st-match-1136601,Krunal Pandya,not out ,8,2,-,0,1,400.00,Mumbai Indians
1,ipl-2018-1131611,kolkata-knight-riders-vs-mumbai-indians-41st-match-1136601,Jean-Paul Duminy,not out ,0,0,-,0,0,-,Mumbai Indians
2,ipl-2018-1131611,kolkata-knight-riders-vs-mumbai-indians-41st-match-1136601,Sunil Narine,c KH Pandya b McClenaghan,4,2,-,1,0,200.00,Kolkata Knight Riders
2,ipl-2018-1131611,kolkata-knight-riders-vs-mumbai-indians-41st-match-1136601,Chris Lynn,run out (Yadav/KH Pandya),21,15,-,3,1,140.00,Kolkata Knight Riders
2,ipl-2018-1131611,kolkata-knight-riders-vs-mumbai-indians-41st-match-1136601,Robin Uthappa,c Yadav b Markande,14,13,-,0,2,107.69,Kolkata Knight Riders
2,ipl-2018-1131611,kolkata-knight-riders-vs-mumbai-indians-41st-match-1136601,Nitish Rana,c Cutting b HH Pandya,21,19,-,2,1,110.52,Kolkata Knight Riders
2,ipl-2018-1131611,kolkata-knight-riders-vs-mumbai-indians-41st-match-1136601,Andre Russell,c Markande b HH Pandya,2,4,-,0,0,50.00,Kolkata Knight Riders
2,ipl-2018-1131611,kolkata-knight-riders-vs-mumbai-indians-41st-match-1136601,Dinesh Karthik (c)†,run out (Duminy/HH Pandya),5,3,-,1,0,166.66,Kolkata Knight Riders
2,ipl-2018-1131611,kolkata-knight-riders-vs-mumbai-indians-41st-match-1136601,Rinku Singh,c Ishan Kishan b Bumrah,5,3,-,1,0,166.66,Kolkata Knight Riders
2,ipl-2018-1131611,kolkata-knight-riders-vs-mumbai-indians-41st-match-1136601,Tom Curran,c Duminy b KH Pandya,18,17,-,3,0,105.88,Kolkata Knight Riders
2,ipl-2018-1131611,kolkata-knight-riders-vs-mumbai-indians-41st-match-1136601,Piyush Chawla,c Yadav b Cutting,11,13,-,1,0,84.61,Kolkata Knight Riders
2,ipl-2018-1131611,kolkata-knight-riders-vs-mumbai-indians-41st-match-1136601,Kuldeep Yadav,lbw b KH Pandya,5,15,-,0,0,33.33,Kolkata Knight Riders
2,ipl-2018-1131611,kolkata-knight-riders-vs-mumbai-indians-41st-match-1136601,Prasidh Krishna,not out ,1,5,-,0,0,20.00,Kolkata Knight Riders
