innings,series,game,Player,Out Type,Runs,B,M,4s,6s,SR,team
1,ipl-2018-1131611,kolkata-knight-riders-vs-rajasthan-royals-49th-match-1136609,Rahul Tripathi,c Karthik b Russell,27,15,-,4,1,180.00,Rajasthan Royals
1,ipl-2018-1131611,kolkata-knight-riders-vs-rajasthan-royals-49th-match-1136609,Jos Buttler,c Scantlebury-Searles b Kuldeep Yadav,39,22,-,5,2,177.27,Rajasthan Royals
1,ipl-2018-1131611,kolkata-knight-riders-vs-rajasthan-royals-49th-match-1136609,Ajinkya Rahane (c), b Kuldeep Yadav,11,12,-,1,0,91.66,Rajasthan Royals
1,ipl-2018-1131611,kolkata-knight-riders-vs-rajasthan-royals-49th-match-1136609,Sanju Samson,lbw b Narine,12,10,-,2,0,120.00,Rajasthan Royals
1,ipl-2018-1131611,kolkata-knight-riders-vs-rajasthan-royals-49th-match-1136609,Ben Stokes,c & b Kuldeep Yadav,11,13,-,0,0,84.61,Rajasthan Royals
1,ipl-2018-1131611,kolkata-knight-riders-vs-rajasthan-royals-49th-match-1136609,Stuart Binny,st Karthik b Kuldeep Yadav,1,4,-,0,0,25.00,Rajasthan Royals
1,ipl-2018-1131611,kolkata-knight-riders-vs-rajasthan-royals-49th-match-1136609,Krishnappa Gowtham,c Karthik b Shivam Mavi,3,5,-,0,0,60.00,Rajasthan Royals
1,ipl-2018-1131611,kolkata-knight-riders-vs-rajasthan-royals-49th-match-1136609,Jaydev Unadkat, b Prasidh Krishna,26,18,-,3,1,144.44,Rajasthan Royals
1,ipl-2018-1131611,kolkata-knight-riders-vs-rajasthan-royals-49th-match-1136609,Ish Sodhi,c Karthik b Prasidh Krishna,1,6,-,0,0,16.66,Rajasthan Royals
1,ipl-2018-1131611,kolkata-knight-riders-vs-rajasthan-royals-49th-match-1136609,Jofra Archer,c Shubman Gill b Russell,6,5,-,1,0,120.00,Rajasthan Royals
1,ipl-2018-1131611,kolkata-knight-riders-vs-rajasthan-royals-49th-match-1136609,Anureet Singh,not out ,3,4,-,0,0,75.00,Rajasthan Royals
2,ipl-2018-1131611,kolkata-knight-riders-vs-rajasthan-royals-49th-match-1136609,Sunil Narine,c Gowtham b Stokes,21,7,-,2,2,300.00,Kolkata Knight Riders
2,ipl-2018-1131611,kolkata-knight-riders-vs-rajasthan-royals-49th-match-1136609,Chris Lynn,c Anureet Singh b Stokes,45,42,-,5,1,107.14,Kolkata Knight Riders
2,ipl-2018-1131611,kolkata-knight-riders-vs-rajasthan-royals-49th-match-1136609,Robin Uthappa,c Tripathi b Stokes,4,6,-,0,0,66.66,Kolkata Knight Riders
2,ipl-2018-1131611,kolkata-knight-riders-vs-rajasthan-royals-49th-match-1136609,Nitish Rana,lbw b Sodhi,21,17,-,2,1,123.52,Kolkata Knight Riders
2,ipl-2018-1131611,kolkata-knight-riders-vs-rajasthan-royals-49th-match-1136609,Dinesh Karthik (c)†,not out ,41,31,-,5,1,132.25,Kolkata Knight Riders
2,ipl-2018-1131611,kolkata-knight-riders-vs-rajasthan-royals-49th-match-1136609,Andre Russell,not out ,11,5,-,2,0,220.00,Kolkata Knight Riders
