innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,ipl-2018-1131611,kolkata-knight-riders-vs-rajasthan-royals-eliminator-1136618,Krishnappa Gowtham,3,0,15,2,5.00,10,2,0,0,0,Rajasthan Royals
1,ipl-2018-1131611,kolkata-knight-riders-vs-rajasthan-royals-eliminator-1136618,Jofra Archer,4,0,33,2,8.25,12,2,2,3,1,Rajasthan Royals
1,ipl-2018-1131611,kolkata-knight-riders-vs-rajasthan-royals-eliminator-1136618,Jaydev Unadkat,2,0,33,0,16.50,1,4,2,0,0,Rajasthan Royals
1,ipl-2018-1131611,kolkata-knight-riders-vs-rajasthan-royals-eliminator-1136618,Ish Sodhi,4,0,15,0,3.75,11,0,0,0,0,Rajasthan Royals
1,ipl-2018-1131611,kolkata-knight-riders-vs-rajasthan-royals-eliminator-1136618,Shreyas Gopal,4,0,34,1,8.50,8,2,2,0,0,Rajasthan Royals
1,ipl-2018-1131611,kolkata-knight-riders-vs-rajasthan-royals-eliminator-1136618,Ben Laughlin,3,0,35,2,11.66,5,3,2,2,0,Rajasthan Royals
2,ipl-2018-1131611,kolkata-knight-riders-vs-rajasthan-royals-eliminator-1136618,Andre Russell,3,0,22,0,7.33,5,0,1,0,0,Kolkata Knight Riders
2,ipl-2018-1131611,kolkata-knight-riders-vs-rajasthan-royals-eliminator-1136618,Prasidh Krishna,4,0,28,1,7.00,10,4,0,0,0,Kolkata Knight Riders
2,ipl-2018-1131611,kolkata-knight-riders-vs-rajasthan-royals-eliminator-1136618,Piyush Chawla,4,0,24,2,6.00,7,2,0,0,0,Kolkata Knight Riders
2,ipl-2018-1131611,kolkata-knight-riders-vs-rajasthan-royals-eliminator-1136618,Sunil Narine,4,0,39,0,9.75,9,2,3,1,0,Kolkata Knight Riders
2,ipl-2018-1131611,kolkata-knight-riders-vs-rajasthan-royals-eliminator-1136618,Kuldeep Yadav,4,0,18,1,4.50,13,2,0,0,0,Kolkata Knight Riders
2,ipl-2018-1131611,kolkata-knight-riders-vs-rajasthan-royals-eliminator-1136618,Javon Searles,1,0,13,0,13.00,1,1,1,0,0,Kolkata Knight Riders
