innings,series,game,Player,Out Type,Runs,B,M,4s,6s,SR,team
1,ipl-2018-1131611,kolkata-knight-riders-vs-royal-challengers-bangalore-3rd-match-1136563,Brendon McCullum, b Narine,43,27,-,6,2,159.25,Royal Challengers Bangalore
1,ipl-2018-1131611,kolkata-knight-riders-vs-royal-challengers-bangalore-3rd-match-1136563,Quinton de Kock,c Vinay Kumar b Chawla,4,4,-,1,0,100.00,Royal Challengers Bangalore
1,ipl-2018-1131611,kolkata-knight-riders-vs-royal-challengers-bangalore-3rd-match-1136563,Virat Kohli (c), b Rana,31,33,-,1,1,93.93,Royal Challengers Bangalore
1,ipl-2018-1131611,kolkata-knight-riders-vs-royal-challengers-bangalore-3rd-match-1136563,AB de Villiers,c Johnson b Rana,44,23,-,1,5,191.30,Royal Challengers Bangalore
1,ipl-2018-1131611,kolkata-knight-riders-vs-royal-challengers-bangalore-3rd-match-1136563,Sarfaraz Khan,c Singh b Johnson,6,10,-,0,0,60.00,Royal Challengers Bangalore
1,ipl-2018-1131611,kolkata-knight-riders-vs-royal-challengers-bangalore-3rd-match-1136563,Mandeep Singh,c Kuldeep Yadav b Vinay Kumar,37,18,-,4,2,205.55,Royal Challengers Bangalore
1,ipl-2018-1131611,kolkata-knight-riders-vs-royal-challengers-bangalore-3rd-match-1136563,Chris Woakes,c Russell b Vinay Kumar,5,5,-,1,0,100.00,Royal Challengers Bangalore
1,ipl-2018-1131611,kolkata-knight-riders-vs-royal-challengers-bangalore-3rd-match-1136563,Washington Sundar,not out ,0,0,-,0,0,-,Royal Challengers Bangalore
2,ipl-2018-1131611,kolkata-knight-riders-vs-royal-challengers-bangalore-3rd-match-1136563,Sunil Narine, b Yadav,50,19,-,4,5,263.15,Kolkata Knight Riders
2,ipl-2018-1131611,kolkata-knight-riders-vs-royal-challengers-bangalore-3rd-match-1136563,Chris Lynn,c de Villiers b Woakes,5,8,-,1,0,62.50,Kolkata Knight Riders
2,ipl-2018-1131611,kolkata-knight-riders-vs-royal-challengers-bangalore-3rd-match-1136563,Robin Uthappa,c McCullum b Yadav,13,12,-,0,1,108.33,Kolkata Knight Riders
2,ipl-2018-1131611,kolkata-knight-riders-vs-royal-challengers-bangalore-3rd-match-1136563,Nitish Rana,lbw b Washington Sundar,34,25,-,2,2,136.00,Kolkata Knight Riders
2,ipl-2018-1131611,kolkata-knight-riders-vs-royal-challengers-bangalore-3rd-match-1136563,Dinesh Karthik (c)†,not out ,35,29,-,4,0,120.68,Kolkata Knight Riders
2,ipl-2018-1131611,kolkata-knight-riders-vs-royal-challengers-bangalore-3rd-match-1136563,Rinku Singh,c de Kock b Woakes,6,6,-,1,0,100.00,Kolkata Knight Riders
2,ipl-2018-1131611,kolkata-knight-riders-vs-royal-challengers-bangalore-3rd-match-1136563,Andre Russell,c de Villiers b Woakes,15,11,-,2,1,136.36,Kolkata Knight Riders
2,ipl-2018-1131611,kolkata-knight-riders-vs-royal-challengers-bangalore-3rd-match-1136563,Vinay Kumar,not out ,6,3,-,1,0,200.00,Kolkata Knight Riders
