innings,series,game,Player,Out Type,Runs,B,M,4s,6s,SR,team
1,ipl-2018-1131611,mumbai-indians-vs-chennai-super-kings-1st-match-1136561,Rohit Sharma (c),c Rayudu b Watson,15,18,-,1,1,83.33,Mumbai Indians
1,ipl-2018-1131611,mumbai-indians-vs-chennai-super-kings-1st-match-1136561,Evin Lewis,lbw b Chahar,0,2,-,0,0,0.00,Mumbai Indians
1,ipl-2018-1131611,mumbai-indians-vs-chennai-super-kings-1st-match-1136561,Ishan Kishan,c Wood b Imran Tahir,40,29,-,4,1,137.93,Mumbai Indians
1,ipl-2018-1131611,mumbai-indians-vs-chennai-super-kings-1st-match-1136561,Suryakumar Yadav,c Harbhajan Singh b Watson,43,29,-,6,1,148.27,Mumbai Indians
1,ipl-2018-1131611,mumbai-indians-vs-chennai-super-kings-1st-match-1136561,Hardik Pandya,not out ,22,20,-,2,0,110.00,Mumbai Indians
1,ipl-2018-1131611,mumbai-indians-vs-chennai-super-kings-1st-match-1136561,Krunal Pandya,not out ,41,22,-,5,2,186.36,Mumbai Indians
2,ipl-2018-1131611,mumbai-indians-vs-chennai-super-kings-1st-match-1136561,Shane Watson,c Lewis b HH Pandya,16,14,-,1,1,114.28,Chennai Super Kings
2,ipl-2018-1131611,mumbai-indians-vs-chennai-super-kings-1st-match-1136561,Ambati Rayudu,lbw b Markande,22,19,-,4,0,115.78,Chennai Super Kings
2,ipl-2018-1131611,mumbai-indians-vs-chennai-super-kings-1st-match-1136561,Suresh Raina,c KH Pandya b HH Pandya,4,6,-,0,0,66.66,Chennai Super Kings
2,ipl-2018-1131611,mumbai-indians-vs-chennai-super-kings-1st-match-1136561,Kedar Jadhav,not out ,24,22,-,1,2,109.09,Chennai Super Kings
2,ipl-2018-1131611,mumbai-indians-vs-chennai-super-kings-1st-match-1136561,MS Dhoni (c)†,lbw b Markande,5,5,-,0,0,100.00,Chennai Super Kings
2,ipl-2018-1131611,mumbai-indians-vs-chennai-super-kings-1st-match-1136561,Ravindra Jadeja,c Yadav b Mustafizur Rahman,12,13,-,1,0,92.30,Chennai Super Kings
2,ipl-2018-1131611,mumbai-indians-vs-chennai-super-kings-1st-match-1136561,Dwayne Bravo,c Sharma b Bumrah,68,30,-,3,7,226.66,Chennai Super Kings
2,ipl-2018-1131611,mumbai-indians-vs-chennai-super-kings-1st-match-1136561,Deepak Chahar,st Ishan Kishan b Markande,0,1,-,0,0,0.00,Chennai Super Kings
2,ipl-2018-1131611,mumbai-indians-vs-chennai-super-kings-1st-match-1136561,Harbhajan Singh,c Bumrah b McClenaghan,8,5,-,1,0,160.00,Chennai Super Kings
2,ipl-2018-1131611,mumbai-indians-vs-chennai-super-kings-1st-match-1136561,Mark Wood,c Mustafizur Rahman b HH Pandya,1,3,-,0,0,33.33,Chennai Super Kings
2,ipl-2018-1131611,mumbai-indians-vs-chennai-super-kings-1st-match-1136561,Imran Tahir,not out ,2,2,-,0,0,100.00,Chennai Super Kings
