innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,ipl-2018-1131611,mumbai-indians-vs-kings-xi-punjab-50th-match-1136610,Ankit Rajpoot,4,0,46,1,11.50,10,5,3,2,0,Kings XI Punjab
1,ipl-2018-1131611,mumbai-indians-vs-kings-xi-punjab-50th-match-1136610,Mohit Sharma,3,0,34,0,11.33,8,2,3,1,1,Kings XI Punjab
1,ipl-2018-1131611,mumbai-indians-vs-kings-xi-punjab-50th-match-1136610,Andrew Tye,4,0,16,4,4.00,15,1,0,1,0,Kings XI Punjab
1,ipl-2018-1131611,mumbai-indians-vs-kings-xi-punjab-50th-match-1136610,Axar Patel,3,0,24,0,8.00,2,0,1,1,0,Kings XI Punjab
1,ipl-2018-1131611,mumbai-indians-vs-kings-xi-punjab-50th-match-1136610,Ravichandran Ashwin,3,0,18,2,6.00,5,0,1,0,0,Kings XI Punjab
1,ipl-2018-1131611,mumbai-indians-vs-kings-xi-punjab-50th-match-1136610,Marcus Stoinis,3,0,43,1,14.33,3,4,3,0,0,Kings XI Punjab
2,ipl-2018-1131611,mumbai-indians-vs-kings-xi-punjab-50th-match-1136610,Mitchell McClenaghan,4,0,37,2,9.25,10,4,2,1,0,Mumbai Indians
2,ipl-2018-1131611,mumbai-indians-vs-kings-xi-punjab-50th-match-1136610,Jasprit Bumrah,4,0,15,3,3.75,11,0,0,1,0,Mumbai Indians
2,ipl-2018-1131611,mumbai-indians-vs-kings-xi-punjab-50th-match-1136610,Hardik Pandya,4,0,42,0,10.50,6,3,2,2,0,Mumbai Indians
2,ipl-2018-1131611,mumbai-indians-vs-kings-xi-punjab-50th-match-1136610,Krunal Pandya,4,0,36,0,9.00,4,5,0,0,0,Mumbai Indians
2,ipl-2018-1131611,mumbai-indians-vs-kings-xi-punjab-50th-match-1136610,Mayank Markande,3,0,34,0,11.33,0,1,2,1,0,Mumbai Indians
2,ipl-2018-1131611,mumbai-indians-vs-kings-xi-punjab-50th-match-1136610,Ben Cutting,1,0,15,0,15.00,0,3,0,0,0,Mumbai Indians
