innings,series,game,Player,Out Type,Runs,B,M,4s,6s,SR,team
1,ipl-2018-1131611,mumbai-indians-vs-royal-challengers-bangalore-14th-match-1136574,Suryakumar Yadav, b Yadav,0,1,-,0,0,0.00,Mumbai Indians
1,ipl-2018-1131611,mumbai-indians-vs-royal-challengers-bangalore-14th-match-1136574,Evin Lewis,c de Kock b Anderson,65,42,-,6,5,154.76,Mumbai Indians
1,ipl-2018-1131611,mumbai-indians-vs-royal-challengers-bangalore-14th-match-1136574,Ishan Kishan, b Yadav,0,1,-,0,0,0.00,Mumbai Indians
1,ipl-2018-1131611,mumbai-indians-vs-royal-challengers-bangalore-14th-match-1136574,Rohit Sharma (c),c Woakes b Anderson,94,52,-,10,5,180.76,Mumbai Indians
1,ipl-2018-1131611,mumbai-indians-vs-royal-challengers-bangalore-14th-match-1136574,Krunal Pandya,run out (Woakes/Anderson),15,12,-,1,1,125.00,Mumbai Indians
1,ipl-2018-1131611,mumbai-indians-vs-royal-challengers-bangalore-14th-match-1136574,Kieron Pollard,c de Villiers b Woakes,5,7,-,0,0,71.42,Mumbai Indians
1,ipl-2018-1131611,mumbai-indians-vs-royal-challengers-bangalore-14th-match-1136574,Hardik Pandya,not out ,17,5,-,1,2,340.00,Mumbai Indians
1,ipl-2018-1131611,mumbai-indians-vs-royal-challengers-bangalore-14th-match-1136574,Mitchell McClenaghan,not out ,0,0,-,0,0,-,Mumbai Indians
2,ipl-2018-1131611,mumbai-indians-vs-royal-challengers-bangalore-14th-match-1136574,Virat Kohli (c),not out ,92,62,-,7,4,148.38,Royal Challengers Bangalore
2,ipl-2018-1131611,mumbai-indians-vs-royal-challengers-bangalore-14th-match-1136574,Quinton de Kock, b McClenaghan,19,12,-,2,1,158.33,Royal Challengers Bangalore
2,ipl-2018-1131611,mumbai-indians-vs-royal-challengers-bangalore-14th-match-1136574,AB de Villiers,c HH Pandya b McClenaghan,1,2,-,0,0,50.00,Royal Challengers Bangalore
2,ipl-2018-1131611,mumbai-indians-vs-royal-challengers-bangalore-14th-match-1136574,Mandeep Singh,st Ishan Kishan b KH Pandya,16,14,-,1,0,114.28,Royal Challengers Bangalore
2,ipl-2018-1131611,mumbai-indians-vs-royal-challengers-bangalore-14th-match-1136574,Corey Anderson,c sub (JP Duminy) b KH Pandya,0,1,-,0,0,0.00,Royal Challengers Bangalore
2,ipl-2018-1131611,mumbai-indians-vs-royal-challengers-bangalore-14th-match-1136574,Washington Sundar,c Yadav b KH Pandya,7,8,-,1,0,87.50,Royal Challengers Bangalore
2,ipl-2018-1131611,mumbai-indians-vs-royal-challengers-bangalore-14th-match-1136574,Sarfaraz Khan,st sub (AP Tare) b Markande,5,6,-,1,0,83.33,Royal Challengers Bangalore
2,ipl-2018-1131611,mumbai-indians-vs-royal-challengers-bangalore-14th-match-1136574,Chris Woakes,c KH Pandya b Bumrah,11,11,-,0,1,100.00,Royal Challengers Bangalore
2,ipl-2018-1131611,mumbai-indians-vs-royal-challengers-bangalore-14th-match-1136574,Umesh Yadav,c Sharma b Bumrah,1,2,-,0,0,50.00,Royal Challengers Bangalore
2,ipl-2018-1131611,mumbai-indians-vs-royal-challengers-bangalore-14th-match-1136574,Mohammed Siraj,not out ,8,3,-,0,1,266.66,Royal Challengers Bangalore
