innings,series,game,Player,Out Type,Runs,B,M,4s,6s,SR,team
1,ipl-2018-1131611,rajasthan-royals-vs-delhi-daredevils-6th-match-1136566,Ajinkya Rahane (c),c Morris b Nadeem,45,40,-,5,0,112.50,Rajasthan Royals
1,ipl-2018-1131611,rajasthan-royals-vs-delhi-daredevils-6th-match-1136566,D'Arcy Short,run out (Shankar),6,3,-,1,0,200.00,Rajasthan Royals
1,ipl-2018-1131611,rajasthan-royals-vs-delhi-daredevils-6th-match-1136566,Ben Stokes,c Pant b Boult,16,12,-,1,1,133.33,Rajasthan Royals
1,ipl-2018-1131611,rajasthan-royals-vs-delhi-daredevils-6th-match-1136566,Sanju Samson, b Nadeem,37,22,-,2,2,168.18,Rajasthan Royals
1,ipl-2018-1131611,rajasthan-royals-vs-delhi-daredevils-6th-match-1136566,Jos Buttler, b Mohammed Shami,29,18,-,2,2,161.11,Rajasthan Royals
1,ipl-2018-1131611,rajasthan-royals-vs-delhi-daredevils-6th-match-1136566,Rahul Tripathi,not out ,15,11,-,0,1,136.36,Rajasthan Royals
1,ipl-2018-1131611,rajasthan-royals-vs-delhi-daredevils-6th-match-1136566,Krishnappa Gowtham,not out ,2,1,-,0,0,200.00,Rajasthan Royals
2,ipl-2018-1131611,rajasthan-royals-vs-delhi-daredevils-6th-match-1136566,Glenn Maxwell,c Buttler b Laughlin,17,12,-,2,1,141.66,Delhi Daredevils
2,ipl-2018-1131611,rajasthan-royals-vs-delhi-daredevils-6th-match-1136566,Colin Munro,run out (Buttler/Gowtham),0,0,-,0,0,-,Delhi Daredevils
2,ipl-2018-1131611,rajasthan-royals-vs-delhi-daredevils-6th-match-1136566,Rishabh Pant,c Gowtham b Unadkat,20,14,-,3,0,142.85,Delhi Daredevils
2,ipl-2018-1131611,rajasthan-royals-vs-delhi-daredevils-6th-match-1136566,Chris Morris,not out ,17,7,-,2,1,242.85,Delhi Daredevils
2,ipl-2018-1131611,rajasthan-royals-vs-delhi-daredevils-6th-match-1136566,Vijay Shankar,c Stokes b Laughlin,3,3,-,0,0,100.00,Delhi Daredevils
2,ipl-2018-1131611,rajasthan-royals-vs-delhi-daredevils-6th-match-1136566,Shreyas Iyer,not out ,0,0,-,0,0,-,Delhi Daredevils
