innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,ipl-2018-1131611,rajasthan-royals-vs-sunrisers-hyderabad-28th-match-1136588,Krishnappa Gowtham,4,0,18,2,4.50,10,0,0,0,0,Rajasthan Royals
1,ipl-2018-1131611,rajasthan-royals-vs-sunrisers-hyderabad-28th-match-1136588,Dhawal Kulkarni,2,0,20,0,10.00,4,4,0,0,0,Rajasthan Royals
1,ipl-2018-1131611,rajasthan-royals-vs-sunrisers-hyderabad-28th-match-1136588,Jofra Archer,4,0,26,3,6.50,9,2,1,0,0,Rajasthan Royals
1,ipl-2018-1131611,rajasthan-royals-vs-sunrisers-hyderabad-28th-match-1136588,Jaydev Unadkat,3,0,33,1,11.00,4,3,1,0,0,Rajasthan Royals
1,ipl-2018-1131611,rajasthan-royals-vs-sunrisers-hyderabad-28th-match-1136588,Ish Sodhi,3,0,25,1,8.33,3,3,0,0,0,Rajasthan Royals
1,ipl-2018-1131611,rajasthan-royals-vs-sunrisers-hyderabad-28th-match-1136588,Ben Stokes,3,0,20,0,6.66,7,2,0,0,0,Rajasthan Royals
1,ipl-2018-1131611,rajasthan-royals-vs-sunrisers-hyderabad-28th-match-1136588,Mahipal Lomror,1,0,8,0,8.00,1,1,0,0,0,Rajasthan Royals
2,ipl-2018-1131611,rajasthan-royals-vs-sunrisers-hyderabad-28th-match-1136588,Sandeep Sharma,4,0,15,1,3.75,14,1,0,0,0,Sunrisers Hyderabad
2,ipl-2018-1131611,rajasthan-royals-vs-sunrisers-hyderabad-28th-match-1136588,Shakib Al Hasan,4,0,30,0,7.50,4,2,0,0,0,Sunrisers Hyderabad
2,ipl-2018-1131611,rajasthan-royals-vs-sunrisers-hyderabad-28th-match-1136588,Basil Thampi,2,0,26,1,13.00,2,3,1,0,0,Sunrisers Hyderabad
2,ipl-2018-1131611,rajasthan-royals-vs-sunrisers-hyderabad-28th-match-1136588,Siddarth Kaul,4,0,23,2,5.75,8,1,0,0,0,Sunrisers Hyderabad
2,ipl-2018-1131611,rajasthan-royals-vs-sunrisers-hyderabad-28th-match-1136588,Rashid Khan,4,0,31,1,7.75,4,1,1,0,0,Sunrisers Hyderabad
2,ipl-2018-1131611,rajasthan-royals-vs-sunrisers-hyderabad-28th-match-1136588,Yusuf Pathan,2,0,14,1,7.00,2,1,0,0,0,Sunrisers Hyderabad
