innings,series,game,Player,Out Type,Runs,B,M,4s,6s,SR,team
1,ipl-2018-1131611,royal-challengers-bangalore-vs-chennai-super-kings-24th-match-1136584,Quinton de Kock,c & b Bravo,53,37,-,1,4,143.24,Royal Challengers Bangalore
1,ipl-2018-1131611,royal-challengers-bangalore-vs-chennai-super-kings-24th-match-1136584,Virat Kohli (c),c Jadeja b Thakur,18,15,-,3,0,120.00,Royal Challengers Bangalore
1,ipl-2018-1131611,royal-challengers-bangalore-vs-chennai-super-kings-24th-match-1136584,AB de Villiers,c Billings b Imran Tahir,68,30,-,2,8,226.66,Royal Challengers Bangalore
1,ipl-2018-1131611,royal-challengers-bangalore-vs-chennai-super-kings-24th-match-1136584,Corey Anderson,c Harbhajan Singh b Imran Tahir,2,8,-,0,0,25.00,Royal Challengers Bangalore
1,ipl-2018-1131611,royal-challengers-bangalore-vs-chennai-super-kings-24th-match-1136584,Mandeep Singh,c Jadeja b Thakur,32,17,-,1,3,188.23,Royal Challengers Bangalore
1,ipl-2018-1131611,royal-challengers-bangalore-vs-chennai-super-kings-24th-match-1136584,Colin de Grandhomme,run out (Dhoni),11,7,-,1,0,157.14,Royal Challengers Bangalore
1,ipl-2018-1131611,royal-challengers-bangalore-vs-chennai-super-kings-24th-match-1136584,Pawan Negi,run out (Jadeja/Dhoni),0,1,-,0,0,0.00,Royal Challengers Bangalore
1,ipl-2018-1131611,royal-challengers-bangalore-vs-chennai-super-kings-24th-match-1136584,Washington Sundar,not out ,13,4,-,1,1,325.00,Royal Challengers Bangalore
1,ipl-2018-1131611,royal-challengers-bangalore-vs-chennai-super-kings-24th-match-1136584,Umesh Yadav,c Billings b Bravo,0,1,-,0,0,0.00,Royal Challengers Bangalore
1,ipl-2018-1131611,royal-challengers-bangalore-vs-chennai-super-kings-24th-match-1136584,Mohammed Siraj,not out ,0,0,-,0,0,-,Royal Challengers Bangalore
2,ipl-2018-1131611,royal-challengers-bangalore-vs-chennai-super-kings-24th-match-1136584,Shane Watson,c Mohammed Siraj b Negi,7,4,-,0,1,175.00,Chennai Super Kings
2,ipl-2018-1131611,royal-challengers-bangalore-vs-chennai-super-kings-24th-match-1136584,Ambati Rayudu,run out (Yadav),82,53,-,3,8,154.71,Chennai Super Kings
2,ipl-2018-1131611,royal-challengers-bangalore-vs-chennai-super-kings-24th-match-1136584,Suresh Raina,c Mandeep Singh b Yadav,11,9,-,2,0,122.22,Chennai Super Kings
2,ipl-2018-1131611,royal-challengers-bangalore-vs-chennai-super-kings-24th-match-1136584,Sam Billings,st de Kock b Chahal,9,7,-,2,0,128.57,Chennai Super Kings
2,ipl-2018-1131611,royal-challengers-bangalore-vs-chennai-super-kings-24th-match-1136584,Ravindra Jadeja, b Chahal,3,5,-,0,0,60.00,Chennai Super Kings
2,ipl-2018-1131611,royal-challengers-bangalore-vs-chennai-super-kings-24th-match-1136584,MS Dhoni (c)†,not out ,70,34,-,1,7,205.88,Chennai Super Kings
2,ipl-2018-1131611,royal-challengers-bangalore-vs-chennai-super-kings-24th-match-1136584,Dwayne Bravo,not out ,14,7,-,1,1,200.00,Chennai Super Kings
