innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,ipl-2018-1131611,royal-challengers-bangalore-vs-sunrisers-hyderabad-51st-match-1136611,Sandeep Sharma,4,0,40,1,10.00,8,4,2,1,0,Sunrisers Hyderabad
1,ipl-2018-1131611,royal-challengers-bangalore-vs-sunrisers-hyderabad-51st-match-1136611,Shakib Al Hasan,4,0,35,0,8.75,5,3,1,0,0,Sunrisers Hyderabad
1,ipl-2018-1131611,royal-challengers-bangalore-vs-sunrisers-hyderabad-51st-match-1136611,Rashid Khan,4,0,27,3,6.75,12,3,1,0,0,Sunrisers Hyderabad
1,ipl-2018-1131611,royal-challengers-bangalore-vs-sunrisers-hyderabad-51st-match-1136611,Siddarth Kaul,4,0,44,2,11.00,8,5,2,0,0,Sunrisers Hyderabad
1,ipl-2018-1131611,royal-challengers-bangalore-vs-sunrisers-hyderabad-51st-match-1136611,Basil Thampi,4,0,70,0,17.50,2,5,6,1,0,Sunrisers Hyderabad
2,ipl-2018-1131611,royal-challengers-bangalore-vs-sunrisers-hyderabad-51st-match-1136611,Umesh Yadav,4,0,31,0,7.75,10,2,2,0,0,Royal Challengers Bangalore
2,ipl-2018-1131611,royal-challengers-bangalore-vs-sunrisers-hyderabad-51st-match-1136611,Tim Southee,4,0,45,0,11.25,6,5,2,1,0,Royal Challengers Bangalore
2,ipl-2018-1131611,royal-challengers-bangalore-vs-sunrisers-hyderabad-51st-match-1136611,Yuzvendra Chahal,4,0,28,1,7.00,9,3,0,1,0,Royal Challengers Bangalore
2,ipl-2018-1131611,royal-challengers-bangalore-vs-sunrisers-hyderabad-51st-match-1136611,Mohammed Siraj,4,0,43,1,10.75,9,2,4,1,0,Royal Challengers Bangalore
2,ipl-2018-1131611,royal-challengers-bangalore-vs-sunrisers-hyderabad-51st-match-1136611,Moeen Ali,2,0,21,1,10.50,2,2,1,0,0,Royal Challengers Bangalore
2,ipl-2018-1131611,royal-challengers-bangalore-vs-sunrisers-hyderabad-51st-match-1136611,Colin de Grandhomme,2,0,34,0,17.00,0,2,3,0,0,Royal Challengers Bangalore
