innings,series,game,Player,Out Type,Runs,B,M,4s,6s,SR,team
1,ipl-2018-1131611,sunrisers-hyderabad-vs-chennai-super-kings-20th-match-1136580,Shane Watson,c Hooda b Kumar,9,15,-,0,1,60.00,Chennai Super Kings
1,ipl-2018-1131611,sunrisers-hyderabad-vs-chennai-super-kings-20th-match-1136580,Faf du Plessis,st Saha b Rashid Khan,11,13,-,1,0,84.61,Chennai Super Kings
1,ipl-2018-1131611,sunrisers-hyderabad-vs-chennai-super-kings-20th-match-1136580,Suresh Raina,not out ,54,43,-,5,2,125.58,Chennai Super Kings
1,ipl-2018-1131611,sunrisers-hyderabad-vs-chennai-super-kings-20th-match-1136580,Ambati Rayudu,run out (Pandey/Kaul/Williamson),79,37,-,9,4,213.51,Chennai Super Kings
1,ipl-2018-1131611,sunrisers-hyderabad-vs-chennai-super-kings-20th-match-1136580,MS Dhoni (c)†,not out ,25,12,-,3,1,208.33,Chennai Super Kings
2,ipl-2018-1131611,sunrisers-hyderabad-vs-chennai-super-kings-20th-match-1136580,Ricky Bhui,c Watson b Chahar,0,5,-,0,0,0.00,Sunrisers Hyderabad
2,ipl-2018-1131611,sunrisers-hyderabad-vs-chennai-super-kings-20th-match-1136580,Kane Williamson (c),c Jadeja b Bravo,84,51,-,5,5,164.70,Sunrisers Hyderabad
2,ipl-2018-1131611,sunrisers-hyderabad-vs-chennai-super-kings-20th-match-1136580,Manish Pandey,c Sharma b Chahar,0,2,-,0,0,0.00,Sunrisers Hyderabad
2,ipl-2018-1131611,sunrisers-hyderabad-vs-chennai-super-kings-20th-match-1136580,Deepak Hooda,c Jadeja b Chahar,1,7,-,0,0,14.28,Sunrisers Hyderabad
2,ipl-2018-1131611,sunrisers-hyderabad-vs-chennai-super-kings-20th-match-1136580,Shakib Al Hasan,c Raina b Sharma,24,19,-,2,1,126.31,Sunrisers Hyderabad
2,ipl-2018-1131611,sunrisers-hyderabad-vs-chennai-super-kings-20th-match-1136580,Yusuf Pathan,c Raina b Thakur,45,27,-,1,4,166.66,Sunrisers Hyderabad
2,ipl-2018-1131611,sunrisers-hyderabad-vs-chennai-super-kings-20th-match-1136580,Wriddhiman Saha,not out ,5,5,-,0,0,100.00,Sunrisers Hyderabad
2,ipl-2018-1131611,sunrisers-hyderabad-vs-chennai-super-kings-20th-match-1136580,Rashid Khan,not out ,17,4,-,1,2,425.00,Sunrisers Hyderabad
